restaurant_id,name,borough,address,zipcode,cuisine,inspection_grade,inspection_score,inspection_date,latitude,longitude
50127777,MATTO ESPRESSO,Manhattan,"1353 2 AVENUE, Manhattan, NY 10021",10021,Coffee/Tea,A,8.0,2026-06-17,40.768296500785,-73.95873934696
50073766,JOE JR.,Manhattan,"167 3 AVENUE, Manhattan, NY 10003",10003,American,,27.0,2026-06-16,40.734693487788,-73.986140350695
41270498,STARBUCKS,Manhattan,"301 WEST  145 STREET, Manhattan, NY 10039",10039,Coffee/Tea,A,4.0,2026-06-16,40.822901579482,-73.942059594277
50150358,HANDROLL BAR ROLLING,Manhattan,"864 6 AVENUE, Manhattan, NY 10001",10001,Japanese,A,13.0,2026-06-16,40.747646365295,-73.989331653312
50158081,THE MANNER,Manhattan,"58 THOMPSON STREET, Manhattan, NY 10012",10012,Seafood,A,13.0,2026-06-16,40.724129676801,-74.003236169522
50008826,RAY'S PIZZA BAGEL CAFE,Manhattan,"2 SAINT MARKS PLACE, Manhattan, NY 10003",10003,Pizza,Z,22.0,2026-06-16,40.729401946523,-73.989597973514
50152716,SHAKE SHACK #1525,Manhattan,"10 COLUMBUS CIRCLE, Manhattan, NY 10019",10019,American,,20.0,2026-06-16,40.767808491195,-73.982266967297
50105437,SWEETGREEN,Manhattan,"1740 BROADWAY, Manhattan, NY 10019",10019,Salads,A,13.0,2026-06-16,40.765091155007,-73.982094413718
50144506,NAKS,Manhattan,"201 1 AVENUE, Manhattan, NY 10003",10003,Filipino,Z,36.0,2026-06-16,40.730191710925,-73.983409959419
50014124,EVERGREEN ON 38,Manhattan,"10 EAST   38 STREET, Manhattan, NY 10016",10016,Chinese,A,11.0,2026-06-16,40.750634492679,-73.981990038121
50139934,LE CAFE COFFEE,Manhattan,"561 10 AVENUE, Manhattan, NY 10036",10036,Coffee/Tea,A,13.0,2026-06-16,40.759188500462,-73.995798337059
40388672,NECTAR,Manhattan,"1090 MADISON AVENUE, Manhattan, NY 10028",10028,American,Z,18.0,2026-06-16,40.778128941659,-73.960812998275
50152628,ANGELINA BAKERY GRAND,Manhattan,"450 LEXINGTON AVENUE, Manhattan, NY 10017",10017,Bakery Products/Desserts,,28.0,2026-06-16,40.753095200871,-73.974853695761
50113500,THE CORNER LOUNGE,Manhattan,"32 EAST  130 STREET, Manhattan, NY 10037",10037,Italian,,,2026-06-16,40.809126817658,-73.938903560863
50082264,LAO MA SPICY,Manhattan,"58 EAST    8 STREET, Manhattan, NY 10003",10003,Chinese,A,12.0,2026-06-16,40.730980466768,-73.993371842863
50060390,CHOP'T,Manhattan,"350 5 AVENUE, Manhattan, NY 10118",10118,Salads,,16.0,2026-06-16,40.748268900702,-73.984690273581
50002480,CARNEGIE HALL-WEILL CAFE,Manhattan,"881 7 AVENUE, Manhattan, NY 10019",10019,American,,28.0,2026-06-16,40.7649344346,-73.980444691149
41606173,ALLIANZ CAFETERIA,Manhattan,"1633 BROADWAY, Manhattan, NY 10019",10019,American,A,11.0,2026-06-16,40.76156716221,-73.983961634192
50106335,MASALA KING,Manhattan,"64 EAST   34 STREET, Manhattan, NY 10016",10016,Indian,,44.0,2026-06-16,40.74746708561,-73.98229405694
50065982,EL CASTILLO DE MADISON,Manhattan,"207 MADISON STREET, Manhattan, NY 10002",10002,Latin American,,35.0,2026-06-16,40.712686306369,-73.989521234924
50005547,DUNKIN',Manhattan,"48 WEST   37 STREET, Manhattan, NY 10018",10018,Donuts,A,12.0,2026-06-16,40.750986221235,-73.984743785129
41151907,THE BACK ROOM,Manhattan,"102 NORFOLK STREET, Manhattan, NY 10002",10002,American,A,12.0,2026-06-16,40.718812385599,-73.987124900726
41120682,SANT AMBROEUS,Manhattan,"1000 MADISON AVENUE, Manhattan, NY 10075",10075,Italian,,30.0,2026-06-16,40.775316250548,-73.962865454507
50146399,DUNKIN DONUTS,Manhattan,"275 MADISON AVENUE, Manhattan, NY 10016",10016,Donuts,,17.0,2026-06-16,40.751254455846,-73.979867634054
50154575,PHO GA VANG,Manhattan,"30 MARKET STREET, Manhattan, NY 10002",10002,Southeast Asian,A,12.0,2026-06-16,40.712719586056,-73.994408917735
50056360,BENJAMIN STEAKHOUSE PRIME,Manhattan,"23 EAST   40 STREET, Manhattan, NY 10016",10016,Steakhouse,,27.0,2026-06-16,40.751427397223,-73.979990296222
50186368,CANTINA HARLEM,Manhattan,"355 EAST  116 STREET, Manhattan, NY 10029",10029,Mexican,N,35.0,2026-06-16,40.796452989576,-73.936459277756
50018025,SUBWAY,Manhattan,"29 EAST    8 STREET, Manhattan, NY 10003",10003,Sandwiches,A,9.0,2026-06-16,40.731521250166,-73.994605783536
50047966,BAGEL BELLY,Manhattan,"114 3 AVENUE, Manhattan, NY 10003",10003,Sandwiches/Salads/Mixed Buffet,,17.0,2026-06-16,40.732917777078,-73.987461340043
50129506,TERIYAKI ONE,Manhattan,"42 WEST   56 STREET, Manhattan, NY 10019",10019,Asian/Asian Fusion,A,12.0,2026-06-16,40.762877744595,-73.975889632694
50181109,PIZZA STOP,Manhattan,"531 LENOX AVENUE, Manhattan, NY 10037",10037,Pizza,N,34.0,2026-06-16,40.815179600583,-73.940079344028
50111191,BLUESTONE LANE,Manhattan,"109 WEST BROADWAY, Manhattan, NY 10013",10013,Australian,,33.0,2026-06-16,40.716089964712,-74.008747782425
50159486,Green Blend Eatery,Manhattan,"387 8 AVENUE, Manhattan, NY 10001",10001,"Juice, Smoothies, Fruit Salads",,50.0,2026-06-16,40.749238739137,-73.995618510276
50165002,NAYA,Manhattan,"1285 6 AVENUE, Manhattan, NY 10019",10019,Middle Eastern,A,10.0,2026-06-16,40.760745825561,-73.979817827252
50000233,PALM COURT,Manhattan,"768 FIFTH AVENUE, Manhattan, NY 10019",10019,American,Z,29.0,2026-06-16,40.7641481437,-73.973950630007
40851227,THE MAGICIAN,Manhattan,"118 RIVINGTON STREET, Manhattan, NY 10002",10002,American,,22.0,2026-06-16,40.719773078381,-73.987341166409
41196542,STARBUCKS COFFEE,Manhattan,"373 5 AVENUE, Manhattan, NY 10016",10016,Coffee/Tea,A,11.0,2026-06-16,40.749185556873,-73.984000717891
50108454,NOZ MARKET,Manhattan,"1374 3 AVENUE, Manhattan, NY 10075",10075,Japanese,N,18.0,2026-06-16,40.773700557744,-73.95772866569
41697654,HOT JALAPENO,Manhattan,"219 EAST  116 STREET, Manhattan, NY 10029",10029,Mexican,A,12.0,2026-06-16,40.797684222238,-73.939390857221
50140400,OLE & STEEN,Manhattan,"1280 LEXINGTON AVENUE, Manhattan, NY 10028",10028,American,A,13.0,2026-06-16,40.779595455676,-73.955518718157
50141382,SOMM TIME,Manhattan,"254 BROOME STREET, Manhattan, NY 10002",10002,New American,A,12.0,2026-06-16,40.718044134176,-73.989964104324
41090212,REBEL,Manhattan,"29 CLINTON STREET, Manhattan, NY 10002",10002,Caribbean,A,10.0,2026-06-16,40.720458903139,-73.984364790075
50125628,BUTTERDOSE,Manhattan,"236 EAST   13 STREET, Manhattan, NY 10003",10003,Coffee/Tea,A,2.0,2026-06-16,40.732204061238,-73.986775915207
50120191,MUSETTE WINE BAR,Manhattan,"420 LENOX AVENUE, Manhattan, NY 10037",10037,French,A,9.0,2026-06-16,40.811651166096,-73.942640206505
50160241,YUKA,Manhattan,"1557 2 AVENUE, Manhattan, NY 10028",10028,Japanese,,20.0,2026-06-16,40.774508909984,-73.954207903167
50137468,MUNCHIES CREPES,Manhattan,"601 WEST  180 STREET, Manhattan, NY 10033",10033,Pancakes/Waffles,A,5.0,2026-06-16,40.848706248002,-73.934421166125
50007126,SANDWICHERIE OF NEW YORK,Manhattan,"202 EAST   42 STREET, Manhattan, NY 10017",10017,American,A,13.0,2026-06-16,40.750652220779,-73.97420857256
50156679,PICA POLLO JOA RESTAURANT,Manhattan,"1370 SAINT NICHOLAS AVENUE, Manhattan, NY 10033",10033,Spanish,Z,43.0,2026-06-16,40.847765049235,-73.934852223376
50159621,LE BASQUE,Manhattan,"15 UNION SQUARE WEST, Manhattan, NY 10003",10003,Vegan,N,26.0,2026-06-16,40.735783666285,-73.991296531347
50091096,BENARES,Manhattan,"45 MURRAY STREET, Manhattan, NY 10007",10007,Indian,A,7.0,2026-06-16,40.71404780671,-74.009382384449
50081133,TACO INN,Manhattan,"1495 SAINT NICHOLAS AVENUE, Manhattan, NY 10033",10033,Tex-Mex,A,10.0,2026-06-16,40.851603320565,-73.932068736195
41707875,NEW GOLDEN STAR RESTAURANT,Manhattan,"4247 BROADWAY, Manhattan, NY 10033",10033,Chinese,,11.0,2026-06-16,40.849780417529,-73.936158731473
50072936,NUSRET STEAKHOUSE,Manhattan,"51 WEST   52 STREET, Manhattan, NY 10019",10019,Turkish,A,12.0,2026-06-16,40.760641249471,-73.978308981387
41398154,LITTLE ITALY PIZZA,Manhattan,"154 CHURCH STREET, Manhattan, NY 10007",10007,Pizza,A,7.0,2026-06-16,40.714838403799,-74.008015342742
50135702,GARVEY'S TIMES SQUARE,Manhattan,"206 WEST   41 STREET, Manhattan, NY 10036",10036,American,A,13.0,2026-06-16,40.755589570563,-73.987998478006
50157598,NO GEM,Manhattan,"51 CANAL STREET, Manhattan, NY 10002",10002,Korean,A,3.0,2026-06-16,40.714841128296,-73.991699682984
50119559,LULLABY,Manhattan,"151 RIVINGTON STREET, Manhattan, NY 10002",10002,American,A,5.0,2026-06-16,40.719240393784,-73.985645741014
50105465,LE PAIN QUOTIDIEN,Manhattan,"70 WEST   40 STREET, Manhattan, NY 10018",10018,Sandwiches/Salads/Mixed Buffet,A,5.0,2026-06-15,40.753258833752,-73.984378717928
50165007,DELI DELIGHTS,Manhattan,"105 AVENUE A, Manhattan, NY 10009",10009,American,N,65.0,2026-06-15,40.725846787019,-73.983692458562
50132265,LOBSTER STEAKHOUSE RESTAURANT,Manhattan,"701 WEST  179 STREET, Manhattan, NY 10033",10033,Latin American,Z,29.0,2026-06-15,40.848993333747,-73.937348683074
50133309,POTBELLY,Manhattan,"280 BROADWAY, Manhattan, NY 10007",10007,Sandwiches,A,12.0,2026-06-15,40.714410338341,-74.006089023993
50077236,MANHATTA,Manhattan,"28 LIBERTY STREET, Manhattan, NY 10005",10005,New American,,41.0,2026-06-15,40.708108174289,-74.008768372325
50148667,DA BAO BAKERY,Manhattan,"90 EAST BROADWAY, Manhattan, NY 10002",10002,Chinese,Z,22.0,2026-06-15,40.713759821953,-73.993795605059
50100556,GRAB AND GO,Manhattan,"20 WEST   47 STREET, Manhattan, NY 10036",10036,Jewish/Kosher,,28.0,2026-06-15,40.75702661736,-73.979479659974
50168389,BEFINE CHA,Manhattan,"67 BAYARD STREET, Manhattan, NY 10013",10013,Chinese,A,12.0,2026-06-15,40.715491923777,-73.998142240263
50148482,NICCOLO PIZZERIA,Manhattan,"2127 AMSTERDAM AVENUE, Manhattan, NY 10032",10032,Pizza,A,7.0,2026-06-15,40.838165776956,-73.938135924398
41552593,TARALLUCCI E VINO,Manhattan,"475 COLUMBUS AVENUE, Manhattan, NY 10024",10024,Italian,Z,52.0,2026-06-15,40.784374185866,-73.973697135192
50045305,DOMINO'S,Manhattan,"440 EAST   14 STREET, Manhattan, NY 10009",10009,Pizza,A,11.0,2026-06-15,40.730786984367,-73.981201634041
50175510,VAL PIZZA,Manhattan,"166 WEST   46 STREET, Manhattan, NY 10036",10036,Pizza,N,70.0,2026-06-15,40.758111516312,-73.983998565639
50087943,WAYAN,Manhattan,"20 SPRING STREET, Manhattan, NY 10012",10012,Indonesian,N,33.0,2026-06-15,40.721434254484,-73.995050340779
50105514,SEMICOLON,Manhattan,"9 EDWARD M MORGAN PLACE, Manhattan, NY 10032",10032,Coffee/Tea,,22.0,2026-06-15,40.834658948622,-73.945420979164
50060822,NOBU,Manhattan,"195 BROADWAY, Manhattan, NY 10007",10007,Japanese,,32.0,2026-06-15,40.710529012969,-74.009378280217
50118034,THE ELK ON MOTT,Manhattan,"228 MOTT STREET, Manhattan, NY 10012",10012,Coffee/Tea,A,12.0,2026-06-15,40.722444332192,-73.995129634394
41703394,PIONEERS BAR & LOUNGE,Manhattan,"134 WEST   29 STREET, Manhattan, NY 10001",10001,American,,30.0,2026-06-15,40.747114039331,-73.991190383844
40918997,FAMOUS RAY'S PIZZA,Manhattan,"736 7 AVENUE, Manhattan, NY 10019",10019,Pizza,A,8.0,2026-06-15,40.760266134671,-73.983875315042
50178911,5 PENN COFFEE BAR,Manhattan,"5 PENN PLAZA, Manhattan, NY 10001",10001,American,Z,33.0,2026-06-15,40.751854407738,-73.993716248526
50124335,STARBUCKS,Manhattan,"55 BROAD ST, Manhattan, NY 10004",10004,Coffee/Tea,A,7.0,2026-06-15,40.705182007167,-74.011505501941
41680991,BLAKE AND TODD,Manhattan,"52 EAST   53 STREET, Manhattan, NY 10022",10022,American,A,11.0,2026-06-15,40.75943804744,-73.973551803596
50161736,ESCHEL,Manhattan,"507 COLUMBUS AVENUE, Manhattan, NY 10024",10024,Jewish/Kosher,N,60.0,2026-06-15,40.785452690359,-73.972909486462
50075962,CHAMPION PIZZA,Manhattan,"17 CLEVELAND PLACE, Manhattan, NY 10012",10012,Pizza,A,11.0,2026-06-15,40.721596271652,-73.99733756748
41621699,MI PASO CENTRO AMERICANO RESTAURANT,Manhattan,"4129 BROADWAY, Manhattan, NY 10033",10033,Latin American,,26.0,2026-06-15,40.845812847353,-73.938573355861
50049617,BAKERY MOCANA,Manhattan,"1540 SAINT NICHOLAS AVENUE, Manhattan, NY 10040",10040,Bakery Products/Desserts,Z,72.0,2026-06-15,40.853147917059,-73.930914032652
50123284,STARBUCKS,Manhattan,"444 MADISON AVENUE, Manhattan, NY 10022",10022,Coffee/Tea,A,10.0,2026-06-15,40.757574853259,-73.975804929436
50186403,OMAKASE BY TENTO,Manhattan,"106 AVENUE B, Manhattan, NY 10009",10009,Japanese,N,25.0,2026-06-15,40.72492418461,-73.981325959827
50112178,BUTLER,Manhattan,"177 LAFAYETTE STREET, Manhattan, NY 10013",10013,Coffee/Tea,A,10.0,2026-06-15,40.720490153507,-73.998661590775
50166684,BEST WESTERN PREMIER,Manhattan,"50 WEST   36 STREET, Manhattan, NY 10018",10018,American,A,10.0,2026-06-15,40.750580119388,-73.985696709367
41432588,TOASTIES,Manhattan,"23 EAST   51 STREET, Manhattan, NY 10022",10022,Soups/Salads/Sandwiches,Z,24.0,2026-06-15,40.758661721903,-73.975541028846
50136934,EL NUEVO CAPRI II RESTAURANT,Manhattan,"1497 SAINT NICHOLAS AVENUE, Manhattan, NY 10033",10033,Latin American,A,5.0,2026-06-15,40.851798113107,-73.931927562314
41114768,PUFFY'S TAVERN,Manhattan,"81 HUDSON STREET, Manhattan, NY 10013",10013,American,A,8.0,2026-06-15,40.718513586926,-74.00885271823
50182884,WANGLANG,Manhattan,"49 WEST   24 STREET, Manhattan, NY 10010",10010,Thai,A,12.0,2026-06-15,40.742939228294,-73.990833667561
50179040,THE GYRO PROJECT,Manhattan,"469 7 AVENUE, Manhattan, NY 10018",10018,Greek,A,12.0,2026-06-15,40.751903544573,-73.989940937192
40367338,"TAP ROOM, GRAB & GO",Manhattan,"180 CENTRAL PARK SOUTH, Manhattan, NY 10019",10019,American,A,13.0,2026-06-15,40.766718222992,-73.978736594767
50120018,CARROT EXPRESS,Manhattan,"18 WEST   23 STREET, Manhattan, NY 10010",10010,Soups/Salads/Sandwiches,,14.0,2026-06-15,40.741898931157,-73.99044045904
50133885,THE SPA CLUB,Manhattan,"22 WEST   32 STREET, Manhattan, NY 10001",10001,Korean,A,13.0,2026-06-15,40.747626871722,-73.986653743397
50078316,ZUCKER'S BAGELS & SMOKED FISH,Manhattan,"40 EAST   23 STREET, Manhattan, NY 10010",10010,Bagels/Pretzels,A,2.0,2026-06-15,40.740638799477,-73.987474316069
50171386,TACO MIX,Manhattan,"234 EAST  116 STREET, Manhattan, NY 10029",10029,Mexican,,0.0,2026-06-14,40.797563323422,-73.939145367645
50187489,The Addison,Manhattan,"214 WEST   39 STREET, Manhattan, NY 10018",10018,Other,N,0.0,2026-06-13,40.754414918467,-73.989049030637
50093481,STONE STREET COFFEE SOHO,Manhattan,"379 BROOME STREET, Manhattan, NY 10013",10013,Coffee/Tea,Z,21.0,2026-06-12,40.720344634593,-73.99647901741
50179818,LIBERTY BAGELS,Manhattan,"650 BROADWAY, Manhattan, NY 10012",10012,Bagels/Pretzels,A,7.0,2026-06-12,40.726737168013,-73.995648858706
50041709,MARKET CRATES,Manhattan,"26 WEST   33 STREET, Manhattan, NY 10001",10001,Sandwiches,,24.0,2026-06-12,40.748236154074,-73.986191658576
50103445,PLAYA BOWLS GC,Manhattan,"230 PARK AVENUE, Manhattan, NY 10169",10169,"Juice, Smoothies, Fruit Salads",A,13.0,2026-06-12,40.75450075314,-73.975950427165
50002120,STARBUCKS,Manhattan,"99 WALL STREET, Manhattan, NY 10005",10005,Coffee/Tea,A,9.0,2026-06-12,40.70499297195,-74.007155752611
50132350,PHD ROOFTOP LOUNGE,Manhattan,"355 WEST   16 STREET, Manhattan, NY 10011",10011,American,A,13.0,2026-06-12,40.741726367976,-74.003081852298
50149351,NYSE BULL MARKET CAFE,Manhattan,"11 WALL STREET, Manhattan, NY 10005",10005,American,A,5.0,2026-06-12,40.707391586763,-74.011105523272
41151163,GALAXY DINER,Manhattan,"665 9 AVENUE, Manhattan, NY 10036",10036,American,A,11.0,2026-06-12,40.761082083992,-73.990701209066
50130108,CENTRAL PARK CAFE,Manhattan,"910 SEVENTH AVENUE, Manhattan, NY 10019",10019,Italian,,33.0,2026-06-12,40.765856561697,-73.979801832419
50176921,BROOKLYN BAGEL & COFFEE COMPANY,Manhattan,"286 8 AVENUE, Manhattan, NY 10001",10001,Bagels/Pretzels,A,7.0,2026-06-12,40.746200350988,-73.997809355437
50119503,SUBWAY,Manhattan,"1171 2 AVENUE, Manhattan, NY 10065",10065,Sandwiches,A,13.0,2026-06-12,40.76226227794,-73.963143498893
50156053,MAJESTY`S PLEASURE,Manhattan,"45 EAST   20 STREET, Manhattan, NY 10003",10003,American,N,17.0,2026-06-12,40.738843879096,-73.988983036918
50179555,PHO BANG,Manhattan,"157 MOTT STREET, Manhattan, NY 10013",10013,Southeast Asian,Z,5.0,2026-06-12,40.719430622582,-73.996338372819
40389356,TOM'S RESTAURANT,Manhattan,"2880 BROADWAY, Manhattan, NY 10025",10025,American,,28.0,2026-06-12,40.805490185201,-73.965720252196
50118589,MATTO ESPRESSO,Manhattan,"3495 BROADWAY, Manhattan, NY 10031",10031,Coffee/Tea,A,12.0,2026-06-12,40.824942569638,-73.951542611028
50052863,HANOVER GOURMET DELI,Manhattan,"3 HANOVER SQUARE, Manhattan, NY 10004",10004,Sandwiches/Salads/Mixed Buffet,A,2.0,2026-06-12,40.704800657511,-74.009622728173
50103133,DUNKIN',Manhattan,"1631 LEXINGTON AVENUE, Manhattan, NY 10029",10029,Donuts,A,10.0,2026-06-12,40.790398208116,-73.947606172251
50156592,GREAT TASTE USA,Manhattan,"33 CATHERINE STREET, Manhattan, NY 10038",10038,Chinese,Z,54.0,2026-06-12,40.712431482985,-73.997024114289
50034637,WOLFE TONE'S PUB & KITCHEN,Manhattan,"37 EAST   29 STREET, Manhattan, NY 10016",10016,Irish,A,12.0,2026-06-12,40.744434480615,-73.984781379958
50113426,H&H BAGELS,Manhattan,"351 WEST   31 STREET, Manhattan, NY 10001",10001,American,A,12.0,2026-06-12,40.750899342782,-73.996278888842
40949905,KA WAH BAKERY,Manhattan,"9 ELDRIDGE STREET, Manhattan, NY 10002",10002,Chinese,Z,47.0,2026-06-12,40.714660104736,-73.993770270146
50149226,HEAVENLY MARKET & PIZZA,Manhattan,"1671 YORK AVENUE, Manhattan, NY 10128",10128,American,Z,31.0,2026-06-12,40.777132189167,-73.946248212845
50108935,EPICES BAKERY,Manhattan,"104 WEST   70 STREET, Manhattan, NY 10023",10023,Bakery Products/Desserts,,33.0,2026-06-12,40.77621256407,-73.980022536506
41138581,COLUMBUS CAFE,Manhattan,"556 COLUMBUS AVENUE, Manhattan, NY 10024",10024,Sandwiches,Z,23.0,2026-06-12,40.787058094262,-73.97176408253
50114980,787 COFFEE,Manhattan,"159 2 AVENUE, Manhattan, NY 10003",10003,Coffee/Tea,,35.0,2026-06-12,40.729593809786,-73.986953230475
50175890,SORATE,Manhattan,"30 EAST   18 STREET, Manhattan, NY 10003",10003,Coffee/Tea,A,5.0,2026-06-12,40.737677437348,-73.98988174858
50082810,GOSPEL,Manhattan,"281 LAFAYETTE STREET, Manhattan, NY 10012",10012,Mediterranean,A,12.0,2026-06-12,40.7240061448,-73.99619380993
50118593,DIM SUM SAM,Manhattan,"28 EAST   23 STREET, Manhattan, NY 10010",10010,Chinese,A,12.0,2026-06-12,40.740712926082,-73.987640300959
41288479,STARBUCKS,Manhattan,"4001 BROADWAY, Manhattan, NY 10032",10032,Coffee/Tea,A,12.0,2026-06-12,40.841144662413,-73.939726979748
50175260,KKR,Manhattan,"30 HUDSON YARDS, Manhattan, NY 10001",10001,American,A,2.0,2026-06-12,40.753710037499,-73.999779827939
41627484,BAGEL EXPRESS,Manhattan,"347 LEXINGTON AVENUE, Manhattan, NY 10016",10016,Bagels/Pretzels,,21.0,2026-06-12,40.749909013378,-73.977146726973
41240624,NEW IVOIRE,Manhattan,"76 EAST  119 STREET, Manhattan, NY 10035",10035,African,,28.0,2026-06-12,40.801561468426,-73.942623650533
50080117,NEW YORK BAGELS & CAFE,Manhattan,"587 1 AVENUE, Manhattan, NY 10016",10016,American,A,12.0,2026-06-12,40.743499261901,-73.973724161201
41658484,LEN'S PAPAYA,Manhattan,"4 SOUTH STREET, Manhattan, NY 10004",10004,Hotdogs/Pretzels,A,7.0,2026-06-12,40.701687901075,-74.011631125861
50131958,787 COFFEE,Manhattan,"204 WEST   10 STREET, Manhattan, NY 10014",10014,Coffee/Tea,A,0.0,2026-06-12,40.734082173393,-74.003983575073
50117993,MCDONALD'S,Manhattan,"102 1 AVENUE, Manhattan, NY 10009",10009,American,A,2.0,2026-06-12,40.726522310707,-73.986051859151
50128013,BEST BAGELS,Manhattan,"225 WEST   35 STREET, Manhattan, NY 10001",10001,Bagels/Pretzels,,38.0,2026-06-11,40.752043618577,-73.991041748626
