user_id,age_group,age,gender,budget_tier,preferred_cuisine_1,preferred_cuisine_2,dietary_restriction,signup_date,acquisition_channel,simulated_order_count
32,25-34,26,female,medium,Chinese,Thai,none,2025-10-28,social_media,3
33,18-24,24,female,high,Other,Chinese,none,2025-11-09,organic,14
34,65+,84,male,low,Mediterranean,Indian,none,2025-12-28,restaurant_qr,2
35,65+,71,male,low,Coffee/Tea,Indian,none,2025-10-30,organic,8
36,55-64,57,male,low,American,Korean,vegetarian,2025-11-08,restaurant_qr,5
37,25-34,26,female,low,Mexican,Mediterranean,none,2026-02-10,restaurant_qr,6
38,18-24,20,female,high,Indian,Other,none,2026-02-14,organic,3
39,45-54,54,female,medium,"Juice, Smoothies, Fruit Salads",Japanese,none,2025-10-08,organic,0
40,35-44,41,female,medium,Sandwiches,Korean,kosher,2026-02-11,paid_search,2
41,18-24,18,female,medium,Sandwiches,Bakery Products/Desserts,none,2025-11-02,social_media,10
42,35-44,42,male,medium,Bakery Products/Desserts,Italian,none,2025-10-17,paid_search,0
43,18-24,20,male,high,Latin American,Asian/Asian Fusion,vegetarian,2025-09-17,restaurant_qr,9
44,55-64,56,male,high,Mexican,Donuts,none,2026-01-23,social_media,5
45,25-34,27,male,medium,Other,Indian,vegetarian,2025-11-29,organic,0
46,45-54,49,female,high,Bakery Products/Desserts,Pizza,none,2025-11-17,organic,9
47,25-34,32,female,medium,Korean,Japanese,none,2025-11-22,social_media,7
48,35-44,44,male,low,Coffee/Tea,Bakery Products/Desserts,vegetarian,2025-12-02,organic,4
49,35-44,41,male,low,Thai,Indian,none,2025-09-24,referral,9
50,25-34,31,female,medium,Sandwiches,Donuts,none,2026-01-17,organic,3
51,65+,76,female,medium,American,Mediterranean,vegetarian,2025-12-16,organic,0
52,45-54,51,female,high,Mexican,Korean,none,2025-10-08,organic,0
53,65+,79,female,medium,Chinese,Mexican,none,2025-12-13,social_media,12
54,55-64,62,male,high,Korean,Indian,none,2025-12-19,organic,7
55,35-44,35,male,medium,American,Mexican,none,2025-09-16,referral,12
56,65+,68,female,high,American,Chicken,gluten_free,2025-09-13,paid_search,6
57,18-24,22,male,medium,French,Mediterranean,none,2025-09-07,referral,3
58,25-34,30,male,medium,French,Thai,none,2025-10-13,social_media,3
59,18-24,18,female,medium,Korean,Indian,none,2025-11-26,organic,7
60,25-34,26,female,high,Donuts,French,vegetarian,2025-12-03,referral,5
61,25-34,25,female,low,Pizza,Donuts,none,2025-11-19,organic,4
62,25-34,34,female,high,Italian,Latin American,none,2025-10-07,paid_search,10
63,55-64,56,male,low,Latin American,Donuts,kosher,2026-02-24,organic,3
64,25-34,31,female,medium,Mediterranean,Bakery Products/Desserts,none,2025-10-31,referral,14
65,25-34,27,male,high,Mexican,French,none,2025-09-12,restaurant_qr,4
66,35-44,44,female,low,Korean,Coffee/Tea,none,2025-11-06,social_media,7
67,25-34,26,female,low,Donuts,Japanese,none,2025-09-20,paid_search,7
68,55-64,61,female,medium,Donuts,Pizza,none,2025-12-30,referral,7
69,18-24,22,female,high,Latin American,Chicken,none,2025-10-09,organic,5
70,65+,77,female,low,Donuts,Pizza,halal,2025-10-17,restaurant_qr,6
71,45-54,46,male,high,Pizza,Donuts,none,2025-12-03,organic,1
72,25-34,27,female,low,Donuts,Asian/Asian Fusion,none,2025-11-26,restaurant_qr,10
73,18-24,20,male,high,Mediterranean,"Juice, Smoothies, Fruit Salads",none,2025-10-27,social_media,6
74,55-64,61,female,high,Asian/Asian Fusion,Indian,vegetarian,2025-12-02,referral,8
75,45-54,48,female,medium,Latin American,Coffee/Tea,none,2025-12-06,social_media,7
76,45-54,45,female,medium,Pizza,Italian,none,2025-09-24,paid_search,3
77,45-54,49,male,medium,Italian,"Juice, Smoothies, Fruit Salads",none,2025-10-15,social_media,0
78,18-24,21,female,medium,Asian/Asian Fusion,Pizza,none,2025-11-01,organic,5
79,25-34,33,female,low,Asian/Asian Fusion,Mediterranean,halal,2025-12-16,social_media,0
80,18-24,21,male,low,Korean,Indian,halal,2025-11-30,social_media,20
81,55-64,63,female,low,Mexican,Mediterranean,none,2025-12-22,referral,4
82,35-44,44,female,medium,Korean,Bakery Products/Desserts,none,2025-10-05,paid_search,3
83,25-34,33,female,low,Latin American,Mexican,none,2025-10-20,organic,2
84,18-24,24,male,medium,Donuts,Indian,none,2026-02-07,organic,0
85,25-34,31,male,high,Italian,Thai,none,2025-10-16,social_media,4
86,25-34,28,female,medium,Pizza,Mediterranean,none,2026-01-03,organic,7
87,45-54,49,female,medium,Chinese,Bakery Products/Desserts,none,2026-01-15,organic,4
88,45-54,45,male,medium,Donuts,Other,none,2026-02-08,referral,5
89,55-64,55,male,high,Coffee/Tea,Latin American,none,2026-02-22,social_media,10
90,35-44,37,female,high,Korean,American,none,2025-10-30,paid_search,4
91,18-24,22,male,high,Chinese,Mexican,none,2026-02-10,organic,5
92,45-54,52,female,high,Thai,Japanese,none,2025-09-04,social_media,12
93,45-54,46,male,low,Pizza,Italian,none,2025-12-14,organic,11
94,35-44,38,male,high,Pizza,Italian,none,2026-01-22,social_media,5
95,45-54,46,female,medium,Chicken,Latin American,gluten_free,2026-01-24,organic,1
96,35-44,39,male,low,Chicken,Mexican,vegetarian,2025-09-05,referral,4
97,35-44,43,male,high,Japanese,Bakery Products/Desserts,none,2025-09-21,paid_search,12
98,35-44,35,male,low,Donuts,American,none,2025-12-17,paid_search,20
99,18-24,22,female,medium,Asian/Asian Fusion,Mediterranean,halal,2025-11-04,social_media,4
100,18-24,23,female,low,Asian/Asian Fusion,Pizza,none,2025-11-18,social_media,7
101,18-24,24,female,medium,Latin American,Bakery Products/Desserts,none,2025-09-22,organic,0
102,45-54,53,male,medium,Bakery Products/Desserts,Sandwiches,halal,2026-01-30,referral,6
103,25-34,25,female,medium,Sandwiches,Other,vegetarian,2025-10-30,organic,5
104,35-44,43,male,medium,Korean,"Juice, Smoothies, Fruit Salads",gluten_free,2026-01-07,restaurant_qr,1
105,55-64,62,male,low,Indian,French,halal,2025-09-11,referral,7
106,25-34,28,female,high,"Juice, Smoothies, Fruit Salads",American,halal,2026-01-27,organic,2
107,35-44,44,male,low,Korean,Chicken,none,2025-10-31,referral,8
108,45-54,49,female,medium,Sandwiches,Japanese,none,2025-11-09,paid_search,4
109,25-34,29,male,high,Italian,Chinese,none,2025-12-30,organic,15
110,18-24,20,female,high,Donuts,Other,none,2026-02-07,restaurant_qr,7
111,25-34,30,female,medium,Italian,Donuts,none,2026-01-15,social_media,3
112,25-34,31,female,medium,Indian,Italian,none,2026-01-05,paid_search,4
113,65+,78,female,high,Thai,Mediterranean,none,2025-10-18,paid_search,2
114,55-64,62,male,high,Japanese,Chinese,none,2025-11-04,organic,2
115,45-54,46,male,medium,Italian,Mediterranean,none,2025-10-22,restaurant_qr,10
116,55-64,63,male,low,Mediterranean,Italian,none,2025-09-17,organic,7
117,55-64,61,female,low,Sandwiches,Thai,none,2025-09-21,organic,7
118,25-34,28,female,low,Mexican,Korean,none,2025-11-09,paid_search,6
119,55-64,58,female,medium,Donuts,Italian,none,2026-01-17,paid_search,8
120,35-44,42,male,low,Bakery Products/Desserts,Thai,none,2025-10-25,paid_search,4
121,55-64,58,male,medium,"Juice, Smoothies, Fruit Salads",Asian/Asian Fusion,none,2025-11-14,organic,1
122,55-64,60,female,medium,Chicken,Mediterranean,none,2025-09-25,organic,6
123,25-34,29,female,low,American,Donuts,none,2026-02-13,organic,4
124,18-24,20,male,high,Italian,Thai,none,2026-01-02,restaurant_qr,3
125,25-34,34,male,medium,Japanese,Chicken,none,2025-10-15,organic,2
126,35-44,36,male,low,Latin American,Chicken,kosher,2025-11-23,referral,9
127,55-64,63,male,high,Pizza,Asian/Asian Fusion,none,2025-12-08,referral,7
128,55-64,64,female,low,Asian/Asian Fusion,Chicken,none,2025-10-07,referral,0
129,18-24,18,female,medium,Chinese,Korean,none,2026-01-16,referral,2
130,35-44,35,male,medium,Mediterranean,Korean,none,2025-11-14,organic,17
131,35-44,44,male,medium,Korean,Pizza,none,2025-12-30,organic,6
132,25-34,27,female,high,Korean,Donuts,none,2026-01-02,paid_search,4
133,18-24,23,male,medium,Japanese,Chicken,none,2025-09-06,organic,9
134,25-34,29,male,medium,Mexican,Japanese,none,2025-09-23,social_media,3
135,65+,69,male,low,Mediterranean,Mexican,none,2025-10-15,social_media,10
136,25-34,30,male,low,Mediterranean,Korean,none,2026-02-19,referral,0
137,35-44,41,female,high,Japanese,Italian,none,2025-11-20,organic,9
138,45-54,45,male,medium,Latin American,Korean,halal,2025-12-22,restaurant_qr,0
139,25-34,33,female,medium,Latin American,Thai,none,2025-10-30,organic,7
140,65+,67,male,medium,Coffee/Tea,Other,none,2025-09-08,paid_search,6
141,65+,84,male,medium,Italian,Coffee/Tea,none,2026-01-27,paid_search,2
142,25-34,34,male,low,Mexican,Coffee/Tea,none,2025-11-21,referral,12
143,35-44,35,female,medium,Korean,Thai,vegetarian,2025-10-08,paid_search,3
144,25-34,34,male,medium,"Juice, Smoothies, Fruit Salads",Donuts,none,2025-11-18,restaurant_qr,8
145,25-34,27,male,low,Other,Latin American,vegetarian,2026-01-21,restaurant_qr,7
146,18-24,19,male,low,Bakery Products/Desserts,American,none,2026-02-11,referral,9
147,35-44,36,male,low,Latin American,Coffee/Tea,vegetarian,2025-12-25,organic,8
148,35-44,35,male,medium,Coffee/Tea,Korean,none,2025-12-10,referral,4
149,18-24,20,female,high,Mexican,Sandwiches,halal,2025-12-28,referral,4
150,25-34,27,female,low,Bakery Products/Desserts,Asian/Asian Fusion,none,2025-12-09,organic,8
151,55-64,60,female,low,Sandwiches,Coffee/Tea,none,2026-01-14,organic,4
152,25-34,32,female,low,Indian,Chicken,none,2026-02-24,organic,2
153,25-34,33,male,medium,Bakery Products/Desserts,"Juice, Smoothies, Fruit Salads",none,2026-02-14,organic,1
154,35-44,43,male,medium,French,Pizza,gluten_free,2025-10-07,paid_search,1
155,65+,68,female,medium,Mediterranean,Asian/Asian Fusion,none,2025-09-03,restaurant_qr,10
156,25-34,29,female,medium,Italian,Mexican,none,2025-09-07,paid_search,3
157,45-54,46,male,medium,French,Coffee/Tea,none,2025-09-12,paid_search,6
158,45-54,53,female,high,Pizza,Donuts,none,2026-01-22,restaurant_qr,4
159,25-34,32,female,high,Chicken,Chinese,none,2025-09-06,organic,2
160,45-54,47,female,low,Chicken,Asian/Asian Fusion,none,2025-11-09,referral,3
161,25-34,33,female,low,Chinese,Thai,none,2025-10-13,paid_search,3
162,45-54,47,female,low,Bakery Products/Desserts,Italian,kosher,2025-10-15,social_media,4
163,45-54,53,female,low,Coffee/Tea,Chinese,none,2025-12-21,organic,7
164,35-44,36,female,high,"Juice, Smoothies, Fruit Salads",Mediterranean,none,2025-11-12,social_media,1
165,18-24,21,male,medium,Latin American,Chicken,none,2026-01-06,organic,3
166,55-64,64,female,low,Chinese,Donuts,none,2025-10-24,referral,1
167,25-34,33,male,medium,Pizza,"Juice, Smoothies, Fruit Salads",none,2026-01-12,organic,3
168,25-34,32,female,medium,Asian/Asian Fusion,Donuts,none,2025-09-19,referral,4
169,18-24,18,female,low,Sandwiches,Mediterranean,none,2026-02-09,paid_search,1
170,35-44,39,male,medium,Japanese,Coffee/Tea,none,2026-01-24,organic,9
171,45-54,46,female,medium,Pizza,Japanese,halal,2025-11-06,social_media,9
172,18-24,21,female,medium,French,Bakery Products/Desserts,none,2026-02-06,organic,11
173,35-44,40,male,low,Chicken,Coffee/Tea,none,2026-01-06,referral,3
174,25-34,32,male,low,Korean,Pizza,vegetarian,2026-02-05,restaurant_qr,6
175,45-54,49,female,medium,Mexican,Donuts,gluten_free,2025-10-18,referral,12
176,25-34,34,female,low,Other,Bakery Products/Desserts,none,2025-10-26,organic,4
177,45-54,46,male,medium,Chinese,Coffee/Tea,none,2025-11-29,social_media,9
178,25-34,30,female,medium,French,Chinese,none,2025-11-28,social_media,11
179,65+,69,male,medium,Thai,American,kosher,2025-12-21,referral,2
180,25-34,29,male,high,Pizza,Mediterranean,halal,2025-10-31,organic,4
181,25-34,25,male,medium,Mediterranean,Indian,none,2026-02-06,paid_search,3
182,18-24,19,female,low,Italian,Other,none,2026-02-19,paid_search,1
183,65+,72,male,medium,French,Chinese,none,2025-12-19,organic,1
184,55-64,57,female,medium,"Juice, Smoothies, Fruit Salads",Mexican,vegetarian,2026-02-18,organic,1
185,25-34,34,female,medium,"Juice, Smoothies, Fruit Salads",Other,none,2026-01-26,paid_search,7
186,45-54,47,female,low,Donuts,Chinese,none,2025-10-12,referral,2
187,55-64,62,male,high,Japanese,French,gluten_free,2026-02-07,restaurant_qr,7
188,35-44,42,female,medium,Japanese,Coffee/Tea,none,2025-12-09,social_media,5
189,35-44,36,female,low,Donuts,Other,none,2025-09-16,paid_search,3
190,25-34,32,female,low,Other,"Juice, Smoothies, Fruit Salads",none,2025-12-04,organic,4
191,18-24,20,male,low,Indian,Japanese,none,2025-12-12,restaurant_qr,0
192,55-64,55,male,high,Chinese,Coffee/Tea,none,2025-11-25,restaurant_qr,5
193,55-64,60,male,low,Pizza,Coffee/Tea,none,2025-10-13,restaurant_qr,7
194,45-54,52,female,low,Italian,Asian/Asian Fusion,none,2026-01-27,referral,7
195,25-34,27,female,high,American,Other,halal,2025-12-17,organic,3
196,25-34,32,male,low,Thai,Chicken,none,2025-09-24,referral,4
197,45-54,45,female,low,Mediterranean,Bakery Products/Desserts,none,2025-10-25,paid_search,1
198,55-64,63,female,low,"Juice, Smoothies, Fruit Salads",American,none,2025-10-12,organic,19
199,55-64,63,male,low,Latin American,American,vegetarian,2026-01-30,social_media,3
200,45-54,49,male,low,French,American,vegetarian,2025-10-23,organic,15
201,45-54,54,male,medium,Italian,Japanese,none,2025-11-19,organic,17
202,18-24,21,male,low,Other,Japanese,none,2026-02-15,paid_search,0
203,25-34,30,male,low,Sandwiches,Chicken,none,2026-01-04,paid_search,7
204,55-64,61,female,medium,Asian/Asian Fusion,"Juice, Smoothies, Fruit Salads",none,2025-12-17,referral,4
205,35-44,39,male,medium,American,Coffee/Tea,none,2026-01-27,organic,5
206,18-24,20,male,medium,Chicken,French,vegetarian,2025-11-19,organic,10
207,18-24,22,female,medium,Donuts,Other,halal,2025-12-17,organic,6
208,45-54,54,male,low,Other,Japanese,none,2026-02-01,organic,0
209,18-24,18,male,medium,Other,Pizza,vegetarian,2026-02-14,organic,3
210,25-34,27,male,medium,French,Mediterranean,kosher,2025-09-16,social_media,1
211,35-44,41,male,medium,Indian,Coffee/Tea,none,2025-12-15,paid_search,1
212,45-54,54,male,high,Korean,Chicken,none,2026-01-24,referral,1
213,45-54,54,male,low,Chinese,French,kosher,2025-12-11,restaurant_qr,1
214,25-34,29,female,medium,Korean,Donuts,none,2025-10-04,social_media,2
215,45-54,51,male,low,Thai,Latin American,kosher,2025-09-11,organic,13
216,25-34,26,female,medium,Coffee/Tea,Chicken,gluten_free,2025-10-29,organic,6
217,25-34,28,female,medium,Latin American,Korean,none,2026-02-11,referral,0
218,45-54,46,female,high,Mediterranean,Donuts,vegetarian,2025-11-20,paid_search,3
219,45-54,51,female,low,Korean,Chinese,none,2025-10-17,referral,2
220,55-64,56,female,medium,French,"Juice, Smoothies, Fruit Salads",none,2025-12-15,referral,5
221,45-54,45,male,medium,Asian/Asian Fusion,Bakery Products/Desserts,none,2026-01-20,restaurant_qr,3
222,35-44,43,male,medium,French,French,none,2025-12-31,restaurant_qr,3
223,18-24,18,male,medium,Asian/Asian Fusion,Donuts,none,2026-02-04,social_media,7
224,25-34,32,female,medium,Other,Korean,none,2025-12-21,organic,1
225,25-34,26,male,medium,Asian/Asian Fusion,Chicken,none,2025-11-19,restaurant_qr,6
226,25-34,32,male,low,Italian,Indian,none,2025-12-22,paid_search,12
227,65+,77,male,medium,Thai,Coffee/Tea,none,2025-11-15,organic,0
228,25-34,27,female,low,Mediterranean,Japanese,none,2025-09-26,social_media,1
229,55-64,60,female,high,Coffee/Tea,Italian,gluten_free,2025-11-15,social_media,3
230,45-54,47,female,medium,French,Bakery Products/Desserts,gluten_free,2025-11-19,referral,7
231,55-64,61,female,high,Italian,Chicken,none,2026-02-11,social_media,6
232,35-44,44,female,low,"Juice, Smoothies, Fruit Salads",French,halal,2025-12-24,organic,2
233,35-44,43,male,high,"Juice, Smoothies, Fruit Salads",Bakery Products/Desserts,none,2025-12-22,restaurant_qr,6
234,35-44,36,female,high,Latin American,Mexican,none,2025-11-09,referral,10
235,25-34,29,female,medium,Bakery Products/Desserts,Pizza,none,2026-01-04,social_media,7
236,45-54,50,female,medium,Donuts,American,none,2025-09-18,organic,4
237,25-34,28,female,low,Coffee/Tea,Japanese,kosher,2025-12-31,paid_search,1
238,18-24,21,female,high,Sandwiches,Asian/Asian Fusion,none,2025-11-30,social_media,6
239,45-54,48,female,medium,French,Donuts,none,2026-01-31,organic,1
240,25-34,26,female,low,Chicken,Thai,none,2025-09-30,organic,9
241,65+,68,male,low,"Juice, Smoothies, Fruit Salads",Chicken,none,2025-10-26,social_media,12
242,65+,81,male,high,Mediterranean,"Juice, Smoothies, Fruit Salads",none,2025-11-07,paid_search,3
243,65+,76,female,high,Donuts,Asian/Asian Fusion,none,2026-02-24,paid_search,5
244,25-34,30,female,high,Indian,Other,none,2026-02-12,organic,5
245,18-24,18,male,medium,Chicken,Korean,none,2026-02-20,paid_search,7
246,65+,74,female,low,Italian,Sandwiches,none,2025-11-30,referral,4
247,35-44,40,female,low,Mediterranean,French,none,2025-10-14,organic,6
248,65+,65,male,low,Pizza,Indian,none,2025-12-15,organic,3
249,65+,82,female,low,Sandwiches,Indian,none,2025-11-21,social_media,1
250,55-64,56,male,medium,"Juice, Smoothies, Fruit Salads",Pizza,none,2025-12-08,restaurant_qr,19
251,25-34,28,male,low,Korean,Thai,none,2026-01-09,social_media,2
252,25-34,27,female,medium,Korean,Pizza,vegetarian,2026-01-30,organic,8
253,55-64,58,female,high,Mediterranean,Mexican,none,2025-10-08,organic,0
254,25-34,31,male,medium,French,American,halal,2025-11-12,referral,1
255,25-34,25,female,high,Sandwiches,Donuts,none,2025-11-29,organic,1
256,35-44,40,female,medium,Latin American,Donuts,none,2025-09-19,social_media,0
257,65+,79,male,low,Japanese,Korean,kosher,2025-09-29,paid_search,13
258,45-54,47,male,medium,Bakery Products/Desserts,Korean,none,2026-01-08,organic,6
259,35-44,44,female,low,Coffee/Tea,Indian,none,2025-10-08,referral,4
260,18-24,24,male,low,Korean,Italian,none,2025-12-06,social_media,3
261,35-44,44,female,medium,Mexican,"Juice, Smoothies, Fruit Salads",none,2025-09-30,social_media,4
262,65+,66,male,low,Bakery Products/Desserts,Thai,none,2026-02-28,organic,2
263,25-34,26,male,low,Korean,Indian,gluten_free,2025-12-06,organic,7
264,35-44,38,male,medium,Asian/Asian Fusion,Other,none,2025-10-20,social_media,2
265,55-64,55,female,high,Mexican,French,none,2026-02-26,social_media,3
266,45-54,47,male,medium,Sandwiches,Coffee/Tea,gluten_free,2025-09-19,organic,5
267,45-54,53,female,medium,Latin American,American,gluten_free,2026-02-24,organic,1
268,45-54,51,male,low,"Juice, Smoothies, Fruit Salads",Mediterranean,none,2025-10-04,organic,4
269,25-34,31,female,medium,Donuts,Chicken,none,2025-11-04,restaurant_qr,2
270,25-34,28,female,medium,Donuts,French,vegetarian,2025-12-03,referral,6
271,55-64,56,female,medium,Japanese,Pizza,none,2025-09-29,restaurant_qr,1
272,55-64,58,male,high,Mexican,Asian/Asian Fusion,none,2025-09-16,organic,0
273,55-64,60,male,low,Chinese,Korean,halal,2025-09-22,restaurant_qr,3
274,65+,75,female,high,Mediterranean,Asian/Asian Fusion,none,2026-02-16,organic,7
275,35-44,37,female,high,Japanese,Italian,none,2026-01-05,paid_search,2
276,35-44,35,male,low,Korean,Indian,none,2025-12-11,referral,2
277,55-64,62,female,medium,Sandwiches,Donuts,none,2025-10-04,organic,4
278,45-54,49,female,high,Chinese,Coffee/Tea,vegetarian,2026-01-15,paid_search,4
279,45-54,49,male,low,Mediterranean,Italian,none,2025-10-09,organic,11
280,55-64,58,male,medium,Asian/Asian Fusion,Chicken,none,2026-02-14,organic,7
281,55-64,60,male,high,French,American,none,2025-11-02,social_media,5
282,25-34,27,female,medium,Bakery Products/Desserts,Thai,none,2025-12-08,social_media,5
283,25-34,33,female,low,Latin American,Pizza,none,2025-09-26,referral,2
284,18-24,22,male,medium,Thai,Chinese,none,2026-02-22,social_media,1
285,35-44,37,male,low,Chinese,American,none,2025-12-04,social_media,0
286,18-24,20,male,medium,Italian,Indian,vegetarian,2025-10-22,organic,7
287,35-44,35,male,low,Korean,American,none,2026-02-11,organic,0
288,35-44,44,female,medium,Japanese,Mediterranean,none,2025-11-25,restaurant_qr,18
289,25-34,30,male,medium,Korean,Sandwiches,vegetarian,2025-12-26,organic,7
290,35-44,36,female,medium,Asian/Asian Fusion,Mexican,none,2025-12-13,social_media,2
291,18-24,22,female,medium,Thai,Mediterranean,none,2025-12-06,organic,5
292,18-24,20,male,medium,Indian,American,kosher,2025-10-29,social_media,15
293,55-64,55,female,medium,Latin American,Japanese,none,2025-10-03,social_media,0
294,25-34,33,female,low,French,Other,none,2026-01-15,organic,0
295,18-24,21,male,medium,Chinese,"Juice, Smoothies, Fruit Salads",none,2025-11-09,organic,0
296,35-44,36,female,low,Thai,Donuts,none,2025-12-01,social_media,6
297,45-54,52,male,high,Thai,Bakery Products/Desserts,kosher,2025-10-12,paid_search,3
298,25-34,33,female,low,Pizza,Sandwiches,none,2026-01-28,organic,19
299,35-44,35,male,medium,Japanese,Bakery Products/Desserts,vegetarian,2025-10-20,social_media,1
300,18-24,22,female,medium,Coffee/Tea,Sandwiches,vegetarian,2025-12-15,organic,1
301,18-24,22,female,medium,Mediterranean,Korean,none,2025-09-28,referral,3
302,35-44,42,male,low,Chicken,Coffee/Tea,none,2025-11-01,paid_search,9
303,35-44,36,male,medium,Chinese,Asian/Asian Fusion,none,2025-10-25,organic,4
304,45-54,48,female,medium,Japanese,Latin American,none,2025-12-14,social_media,6
305,45-54,51,female,medium,Latin American,Japanese,none,2025-10-01,paid_search,0
306,65+,67,male,medium,Indian,Asian/Asian Fusion,kosher,2025-12-25,organic,4
307,35-44,39,male,medium,Coffee/Tea,Asian/Asian Fusion,gluten_free,2025-11-07,paid_search,2
308,25-34,32,male,medium,Latin American,Mediterranean,none,2025-12-29,organic,8
309,55-64,64,male,medium,"Juice, Smoothies, Fruit Salads",Bakery Products/Desserts,none,2025-11-09,organic,0
310,25-34,27,female,medium,Japanese,Indian,vegetarian,2025-11-28,organic,2
311,35-44,38,female,medium,Thai,Coffee/Tea,none,2026-01-13,paid_search,6
312,18-24,23,male,low,Thai,French,halal,2026-02-18,organic,4
313,18-24,24,female,low,Korean,Chicken,none,2025-09-27,social_media,5
314,65+,78,female,low,Japanese,Donuts,none,2025-09-11,social_media,7
315,55-64,61,male,low,Other,Chinese,vegetarian,2025-09-12,paid_search,2
316,45-54,45,male,medium,Bakery Products/Desserts,Sandwiches,none,2025-10-08,referral,6
317,25-34,28,male,medium,Indian,Pizza,kosher,2026-01-21,referral,3
318,25-34,28,male,low,Indian,Other,kosher,2025-09-06,social_media,0
319,25-34,33,male,high,Pizza,Thai,none,2025-12-07,social_media,1
320,25-34,30,female,low,Pizza,American,none,2026-01-04,organic,7
321,35-44,43,female,medium,Thai,Korean,gluten_free,2025-12-05,referral,5
322,45-54,50,female,medium,Korean,Pizza,halal,2025-12-08,organic,7
323,45-54,50,female,medium,Korean,Indian,none,2025-11-01,organic,15
324,25-34,29,male,low,Thai,Chicken,vegetarian,2025-12-18,social_media,1
325,65+,85,female,medium,Other,Pizza,none,2025-11-15,organic,15
326,45-54,46,female,medium,Japanese,Latin American,none,2025-10-29,organic,4
327,35-44,42,female,high,Chicken,American,halal,2025-11-22,social_media,8
328,35-44,42,female,medium,Chicken,Latin American,none,2026-01-18,social_media,1
329,35-44,35,female,high,Chinese,Bakery Products/Desserts,kosher,2025-11-03,social_media,14
330,25-34,32,female,low,Thai,Korean,none,2026-02-07,referral,1
331,25-34,29,female,medium,"Juice, Smoothies, Fruit Salads",Sandwiches,none,2025-09-28,organic,6
332,45-54,46,female,medium,Chinese,American,none,2026-01-24,organic,4
333,18-24,23,female,medium,Japanese,Korean,none,2025-10-19,social_media,7
334,18-24,19,male,low,Sandwiches,Japanese,none,2025-12-27,organic,15
335,18-24,23,female,medium,Coffee/Tea,Latin American,none,2025-10-19,social_media,6
336,18-24,24,female,medium,Latin American,Chinese,none,2025-09-05,organic,4
337,55-64,60,male,medium,French,Coffee/Tea,none,2026-02-08,paid_search,4
338,45-54,53,female,low,Other,American,none,2025-11-17,paid_search,0
339,35-44,35,male,high,French,Mediterranean,vegetarian,2025-12-04,social_media,1
340,18-24,21,female,low,Bakery Products/Desserts,Pizza,none,2025-09-30,paid_search,5
341,35-44,40,female,high,Japanese,Mediterranean,none,2025-10-28,paid_search,9
342,35-44,43,male,high,Indian,Asian/Asian Fusion,none,2025-12-13,organic,6
343,25-34,32,female,high,French,Italian,none,2025-12-02,organic,10
