borough,block,lot,bbl,address,zipcode,latitude,longitude,landuse,lotarea,bldgarea,comarea,retailarea,officearea,resarea,numfloors,unitsres,unitstotal,yearbuilt,commercial_area_proxy,has_commercial_space
MN,1560,1,1015600001.0,1540 1 AVENUE,10028.0,40.7732052,-73.9516385,4.0,21800.0,302049.0,39102.0,9251.0,0.0,262947.0,35.0,310.0,316.0,1980.0,39102.0,1
MN,1561,46,1015610046.0,1574 1 AVENUE,10028.0,40.77399,-73.9510638,4.0,2716.0,10650.0,600.0,600.0,0.0,10050.0,5.0,14.0,16.0,1920.0,600.0,1
MN,1560,9,1015600009.0,421 EAST 80 STREET,10075.0,40.7728537,-73.9511983,2.0,2555.0,9295.0,0.0,0.0,0.0,9295.0,5.0,20.0,20.0,1925.0,0.0,0
MN,1561,11,1015610011.0,415 EAST 81 STREET,10028.0,40.7734243,-73.9505768,2.0,2554.0,9570.0,0.0,0.0,0.0,9570.0,5.0,21.0,21.0,1930.0,0.0,0
MN,1559,9,1015590009.0,413 EAST 79 STREET,10075.0,40.7722281,-73.9516861,8.0,2554.0,9587.0,7748.0,0.0,0.0,0.0,4.0,0.0,1.0,1887.0,7748.0,1
MN,1560,10,1015600010.0,425 EAST 80 STREET,10075.0,40.7728042,-73.9510791,3.0,5109.0,23568.0,0.0,0.0,0.0,23568.0,7.0,41.0,41.0,1925.0,0.0,0
MN,1560,14,1015600014.0,433 EAST 80 STREET,10075.0,40.7726696,-73.9507615,2.0,5474.0,23346.0,0.0,0.0,0.0,23346.0,6.0,31.0,31.0,1925.0,0.0,0
MN,1560,29,1015600029.0,45O EAST 81 STREET,10028.0,40.7727022,-73.9500611,4.0,4418.0,18190.0,900.0,900.0,0.0,17290.0,6.0,34.0,38.0,1910.0,900.0,1
MN,1560,42,1015600042.0,412 EAST 81 STREET,10028.0,40.7731885,-73.9512088,3.0,5108.0,22500.0,0.0,0.0,0.0,22500.0,5.0,34.0,34.0,1950.0,0.0,0
MN,1561,14,1015610014.0,421 EAST 81 STREET,10028.0,40.7733254,-73.9503422,2.0,2554.0,10412.0,0.0,0.0,0.0,10412.0,5.5,20.0,20.0,1920.0,0.0,0
MN,1561,12,1015610012.0,417 EAST 81 STREET,10028.0,40.7733914,-73.9504974,2.0,2554.0,10000.0,0.0,0.0,0.0,10000.0,5.0,21.0,21.0,1950.0,0.0,0
MN,1561,45,1015610045.0,1576 1 AVENUE,10028.0,40.7740531,-73.9510132,4.0,2734.0,8430.0,1400.0,1400.0,0.0,7030.0,4.0,12.0,16.0,1910.0,1400.0,1
MN,1560,27,1015600027.0,1527 YORK AVENUE,10028.0,40.7726418,-73.9498626,4.0,1190.0,2516.0,900.0,900.0,0.0,1616.0,3.0,4.0,5.0,1915.0,900.0,1
MN,1561,9,1015610009.0,411 EAST 81 STREET,10028.0,40.7734903,-73.9507357,3.0,2554.0,9000.0,0.0,0.0,0.0,9000.0,5.0,20.0,20.0,1960.0,0.0,0
MN,1561,34,1015610034.0,42O EAST 82 STREET,10028.0,40.7735751,-73.9501579,4.0,7662.0,26400.0,1600.0,0.0,1600.0,24800.0,4.0,45.0,47.0,1960.0,1600.0,1
MN,1561,47,1015610047.0,1570 1 AVENUE,10028.0,40.7738994,-73.9511289,4.0,5431.0,28000.0,2800.0,2800.0,0.0,25200.0,7.0,51.0,53.0,1960.0,2800.0,1
MN,1560,16,1015600016.0,437 EAST 80 STREET,10075.0,40.7725954,-73.9505883,4.0,5474.0,23346.0,400.0,400.0,0.0,22946.0,6.0,31.0,32.0,1925.0,400.0,1
MN,1560,41,1015600041.0,416 EAST 81 STREET,10028.0,40.7731391,-73.9510933,2.0,2554.0,9470.0,0.0,0.0,0.0,9470.0,5.0,20.0,20.0,1900.0,0.0,0
MN,1561,13,1015610013.0,419 EAST 81 STREET,10028.0,40.7733584,-73.950418,2.0,2554.0,9570.0,0.0,0.0,0.0,9570.0,5.0,20.0,20.0,1911.0,0.0,0
MN,1559,31,1015590031.0,430 EAST 80 STREET,10075.0,40.7721453,-73.950715,8.0,5108.0,38106.0,38106.0,0.0,0.0,0.0,8.0,0.0,1.0,1910.0,38106.0,1
MN,1560,28,1015600028.0,1531 YORK AVENUE,10028.0,40.7727076,-73.9498156,4.0,2380.0,5250.0,1500.0,1250.0,250.0,3750.0,3.0,10.0,13.0,1910.0,1500.0,1
MN,1561,33,1015610033.0,424 EAST 82 STREET,10028.0,40.7735092,-73.9500027,4.0,2554.0,11626.0,400.0,400.0,0.0,11226.0,6.0,19.0,20.0,1920.0,400.0,1
MN,1559,5,1015590005.0,409 EAST 79 STREET,10075.0,40.772423,-73.9516715,8.0,27273.0,70081.0,48166.0,0.0,0.0,0.0,1.0,0.0,3.0,1905.0,48166.0,1
MN,1560,31,1015600031.0,440 EAST 81 STREET,10028.0,40.7728561,-73.950422,3.0,10217.0,56064.0,4000.0,0.0,0.0,52064.0,7.0,67.0,68.0,1961.0,4000.0,1
MN,1560,40,1015600040.0,418 EAST 81 STREET,10028.0,40.7731061,-73.9510139,2.0,2554.0,9470.0,0.0,0.0,0.0,9470.0,5.0,21.0,22.0,1910.0,0.0,0
MN,1561,7,1015610007.0,407 EAST 81 STREET,10028.0,40.773559,-73.9508945,2.0,2554.0,10375.0,0.0,0.0,0.0,10375.0,5.0,20.0,20.0,1920.0,0.0,0
MN,1561,21,1015610021.0,1533 YORK AVENUE,10028.0,40.7732263,-73.9497213,3.0,42194.0,502595.0,25000.0,0.0,0.0,477595.0,33.0,415.0,415.0,1966.0,25000.0,1
MN,1560,39,1015600039.0,420 EAST 81 STREET,10028.0,40.7730732,-73.9509345,3.0,2554.0,9295.0,500.0,0.0,500.0,8795.0,8.0,7.0,8.0,1985.0,500.0,1
MN,1560,35,1015600035.0,428 EAST 81 STREET,10028.0,40.7729385,-73.9506205,2.0,2554.0,8614.0,0.0,0.0,0.0,8614.0,5.0,20.0,20.0,1925.0,0.0,0
MN,1560,36,1015600036.0,426 EAST 81 STREET,10028.0,40.7729742,-73.9506999,2.0,2554.0,8615.0,0.0,0.0,0.0,8615.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1561,37,1015610037.0,416 EAST 82 STREET,10028.0,40.7737564,-73.9505946,8.0,20433.0,35159.0,35159.0,0.0,0.0,0.0,5.0,0.0,2.0,1927.0,35159.0,1
MN,1561,16,1015610016.0,425 EAST 81 STREET,10028.0,40.7732595,-73.9501834,2.0,2554.0,9570.0,0.0,0.0,0.0,9570.0,5.0,19.0,19.0,1915.0,0.0,0
MN,1560,30,1015600030.0,444 EAST 81 STREET,10028.0,40.7727599,-73.9501982,4.0,4418.0,18190.0,800.0,800.0,0.0,17390.0,6.0,34.0,37.0,1910.0,800.0,1
MN,1560,44,1015600044.0,410 EAST 81 STREET,10028.0,40.7732408,-73.9513316,2.0,2554.0,9750.0,0.0,0.0,0.0,9750.0,5.0,19.0,19.0,1950.0,0.0,0
MN,1561,10,1015610010.0,413 EAST 81 STREET,10028.0,40.7734573,-73.9506562,2.0,2554.0,9570.0,0.0,0.0,0.0,9570.0,5.0,21.0,21.0,1930.0,0.0,0
MN,1561,1,1015610001.0,1562 1 AVENUE,10028.0,40.7736798,-73.9511832,4.0,15973.0,210428.0,12120.0,5120.0,0.0,198308.0,21.0,199.0,205.0,1964.0,12120.0,1
MN,1560,12,1015600012.0,427 EAST 80 STREET,10075.0,40.7727548,-73.95096,2.0,2554.0,9295.0,0.0,0.0,0.0,9295.0,5.0,20.0,20.0,1925.0,0.0,0
MN,1560,37,1015600037.0,424 EAST 81 STREET,10028.0,40.7730072,-73.9507793,5.0,2554.0,3176.0,3176.0,0.0,1773.0,0.0,2.0,0.0,1.0,1952.0,3176.0,1
MN,1560,13,1015600013.0,429 EAST 80 STREET,10075.0,40.7727218,-73.9508842,2.0,2554.0,9295.0,0.0,0.0,0.0,9295.0,5.0,18.0,18.0,1925.0,0.0,0
MN,1560,38,1015600038.0,422 EAST 81 STREET,10028.0,40.7730402,-73.9508587,2.0,2554.0,11000.0,0.0,0.0,0.0,11000.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1562,2,1015620002.0,1580 1 AVENUE,10028.0,40.7743412,-73.9508614,4.0,2042.0,8055.0,1600.0,1600.0,0.0,6455.0,5.0,8.0,9.0,1920.0,1600.0,1
MN,1562,38,1015620038.0,416 EAST 83 STREET,10028.0,40.7743079,-73.9499335,2.0,2554.0,8345.0,0.0,0.0,0.0,8345.0,5.0,22.0,22.0,1930.0,0.0,0
MN,1562,43,1015620043.0,406 EAST 83 STREET,10028.0,40.7744755,-73.9503306,2.0,2554.0,8284.0,0.0,0.0,0.0,8284.0,5.0,20.0,20.0,1930.0,0.0,0
MN,1562,47,1015620047.0,1588 1 AVENUE,10028.0,40.7745799,-73.9506879,4.0,2000.0,7750.0,1200.0,1200.0,0.0,6550.0,5.0,8.0,10.0,1915.0,1200.0,1
MN,1563,1,1015630001.0,1602 1 AVENUE,10028.0,40.7749064,-73.9504385,4.0,2281.0,10865.0,2160.0,2160.0,0.0,8705.0,5.0,16.0,18.0,1915.0,2160.0,1
MN,1562,12,1015620012.0,419 EAST 82 STREET,10028.0,40.7740252,-73.9500348,2.0,2605.0,7930.0,0.0,0.0,0.0,7930.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1562,45,1015620045.0,1592 1 AVENUE,10028.0,40.7747061,-73.9505976,4.0,2173.0,10350.0,1400.0,1400.0,0.0,8950.0,5.0,12.0,14.0,1930.0,1400.0,1
MN,1562,44,1015620044.0,404 EAST 83 STREET,10028.0,40.7745084,-73.9504063,2.0,2554.0,9250.0,0.0,0.0,0.0,9250.0,5.0,20.0,20.0,1930.0,0.0,0
MN,1562,42,1015620042.0,408 EAST 83 STREET,10028.0,40.7744425,-73.9502511,3.0,2554.0,10875.0,0.0,0.0,0.0,10875.0,5.0,20.0,20.0,1920.0,0.0,0
MN,1563,39,1015630039.0,430 EAST 84 STREET,10028.0,40.7749142,-73.9493987,1.0,1703.0,3336.0,0.0,0.0,0.0,2276.0,3.0,2.0,2.0,1899.0,0.0,0
MN,1562,4,1015620004.0,1584 1 AVENUE,10028.0,40.7744592,-73.9507747,4.0,2000.0,7750.0,1100.0,1100.0,0.0,6650.0,5.0,8.0,10.0,1920.0,1100.0,1
MN,1563,144,1015630144.0,414 EAST 84 STREET,10028.0,40.7751038,-73.9498427,2.0,2043.0,5700.0,570.0,0.0,0.0,5130.0,4.0,8.0,8.0,1910.0,570.0,1
MN,1563,2,1015630002.0,1604 1 AVENUE,10028.0,40.7749723,-73.9503916,4.0,2100.0,8875.0,1500.0,1500.0,0.0,7375.0,5.0,16.0,18.0,1915.0,1500.0,1
MN,1563,40,1015630040.0,426 EAST 84 STREET,10028.0,40.7749609,-73.9495034,1.0,1703.0,2304.0,0.0,0.0,0.0,1536.0,2.0,2.0,2.0,1899.0,0.0,0
MN,1562,144,1015620144.0,402 EAST 83 STREET,10028.0,40.7745414,-73.9504894,3.0,2656.0,16380.0,0.0,0.0,0.0,16380.0,9.0,27.0,27.0,1930.0,0.0,0
MN,1562,41,1015620041.0,410 EAST 83 STREET,10028.0,40.7744095,-73.9501717,2.0,2554.0,8845.0,0.0,0.0,0.0,8845.0,5.5,10.0,10.0,1915.0,0.0,0
MN,1562,46,1015620046.0,1590 1 AVENUE,10028.0,40.7746403,-73.9506445,4.0,2000.0,7750.0,1200.0,1200.0,0.0,6550.0,5.0,8.0,9.0,1930.0,1200.0,1
MN,1563,15,1015630015.0,435 EAST 83 STREET,10028.0,40.7745684,-73.9493556,5.0,2554.0,12270.0,12270.0,0.0,12270.0,0.0,5.0,0.0,1.0,1905.0,12270.0,1
MN,1563,41,1015630041.0,424 EAST 84 STREET,10028.0,40.7749801,-73.9495503,8.0,1447.0,2332.0,2332.0,0.0,0.0,0.0,3.0,0.0,1.0,1905.0,2332.0,1
MN,1563,9,1015630009.0,423 EAST 83 STREET,10028.0,40.7747524,-73.9497888,2.0,5108.0,18510.0,0.0,0.0,0.0,18510.0,5.0,40.0,40.0,1910.0,0.0,0
MN,1563,44,1015630044.0,416 EAST 84 STREET,10028.0,40.7750763,-73.9497777,2.0,2043.0,6000.0,0.0,0.0,0.0,6000.0,4.0,8.0,8.0,1910.0,0.0,0
MN,1563,8,1015630008.0,417 EAST 83 STREET,10028.0,40.7748074,-73.9499223,3.0,3405.0,16572.0,0.0,0.0,0.0,16572.0,6.0,25.0,25.0,1990.0,0.0,0
MN,1563,45,1015630045.0,412 EAST 84 STREET,10028.0,40.7751285,-73.9499076,1.0,2043.0,6113.0,0.0,0.0,0.0,4913.0,5.0,1.0,1.0,1880.0,0.0,0
MN,1563,139,1015630139.0,428 EAST 84 STREET,10028.0,40.7749389,-73.9494529,1.0,1073.0,2304.0,0.0,0.0,0.0,1536.0,2.0,2.0,2.0,1890.0,0.0,0
MN,1562,48,1015620048.0,1586 1 AVENUE,10028.0,40.7745195,-73.9507313,4.0,2000.0,7750.0,900.0,900.0,0.0,6850.0,5.0,13.0,15.0,1915.0,900.0,1
MN,1563,5,1015630005.0,411 EAST 83 STREET,10028.0,40.7748651,-73.9500631,3.0,5789.0,28900.0,0.0,0.0,0.0,28900.0,6.0,37.0,37.0,1915.0,0.0,0
MN,1563,18,1015630018.0,445 EAST 83 STREET,10028.0,40.7744722,-73.9491283,2.0,2563.0,9750.0,0.0,0.0,0.0,9750.0,5.0,10.0,10.0,1910.0,0.0,0
MN,1562,7,1015620007.0,409 EAST 82 STREET,10028.0,40.77419,-73.9504319,2.0,2554.0,8020.0,0.0,0.0,0.0,8020.0,5.0,16.0,16.0,1910.0,0.0,0
MN,1562,14,1015620014.0,423 EAST 82 STREET,10028.0,40.7739593,-73.9498796,2.0,2554.0,8555.0,0.0,0.0,0.0,8555.0,5.0,20.0,20.0,1905.0,0.0,0
MN,1562,10,1015620010.0,415 EAST 82 STREET,10028.0,40.7740911,-73.9501972,2.0,2554.0,8020.0,0.0,0.0,0.0,8020.0,5.0,16.0,16.0,1910.0,0.0,0
MN,1562,16,1015620016.0,427 EAST 82 STREET,10028.0,40.7738906,-73.9497208,3.0,2554.0,10000.0,0.0,0.0,0.0,10000.0,6.0,17.0,17.0,1910.0,0.0,0
MN,1562,21,1015620021.0,1549 YORK AVENUE,10028.0,40.7735582,-73.9492156,4.0,2089.0,8882.0,1700.0,1700.0,0.0,7182.0,5.0,8.0,10.0,1910.0,1700.0,1
MN,1562,34,1015620034.0,424 EAST 83 STREET,10028.0,40.774176,-73.9496195,2.0,2554.0,8345.0,0.0,0.0,0.0,8345.0,5.0,10.0,10.0,1930.0,0.0,0
MN,1562,8,1015620008.0,411 EAST 82 STREET,10028.0,40.7741571,-73.9503561,2.0,2554.0,8020.0,0.0,0.0,0.0,8020.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1562,18,1015620018.0,431 EAST 82 STREET,10028.0,40.7738246,-73.949562,3.0,2554.0,10560.0,0.0,0.0,0.0,10560.0,5.0,14.0,14.0,1910.0,0.0,0
MN,1562,11,1015620011.0,417 EAST 82 STREET,10028.0,40.7740582,-73.9501142,2.0,2554.0,8020.0,0.0,0.0,0.0,8020.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1563,29,1015630029.0,1579 YORK AVENUE,10028.0,40.7746256,-73.9484385,4.0,2146.0,9030.0,1800.0,1800.0,0.0,7230.0,5.0,8.0,11.0,1915.0,1800.0,1
MN,1562,19,1015620019.0,433 EAST 82 STREET,10028.0,40.7737559,-73.9493996,3.0,7777.0,23910.0,0.0,0.0,0.0,23910.0,5.0,33.0,33.0,1920.0,0.0,0
MN,1562,37,1015620037.0,418 EAST 83 STREET,10028.0,40.7742749,-73.9498541,2.0,2554.0,8345.0,0.0,0.0,0.0,8345.0,5.0,22.0,22.0,1930.0,0.0,0
MN,1562,5,1015620005.0,405 EAST 82 STREET,10028.0,40.7742587,-73.9505907,3.0,7764.0,32690.0,0.0,0.0,0.0,32690.0,5.0,55.0,55.0,1910.0,0.0,0
MN,1562,33,1015620033.0,426 EAST 83 STREET,10028.0,40.774143,-73.9495401,2.0,2554.0,8345.0,0.0,0.0,0.0,8345.0,5.0,22.0,22.0,1910.0,0.0,0
MN,1562,36,1015620036.0,420 EAST 83 STREET,10028.0,40.7742419,-73.9497747,2.0,2554.0,8345.0,0.0,0.0,0.0,8345.0,5.0,12.0,12.0,1930.0,0.0,0
MN,1562,13,1015620013.0,421 EAST 82 STREET,10028.0,40.7739922,-73.949959,2.0,2554.0,8020.0,0.0,0.0,0.0,8020.0,5.0,17.0,17.0,1910.0,0.0,0
MN,1562,40,1015620040.0,412 EAST 83 STREET,10028.0,40.7743765,-73.9500923,2.0,2554.0,7845.0,0.0,0.0,0.0,7845.0,5.0,20.0,20.0,1930.0,0.0,0
MN,1562,9,1015620009.0,413 EAST 82 STREET,10028.0,40.7741241,-73.9502767,2.0,2554.0,8020.0,0.0,0.0,0.0,8020.0,5.0,22.0,22.0,1910.0,0.0,0
MN,1563,141,1015630141.0,422 EAST 84 STREET,10028.0,40.7750021,-73.9496008,1.0,1831.0,2040.0,0.0,0.0,0.0,1360.0,2.0,1.0,1.0,1890.0,0.0,0
MN,1563,20,1015630020.0,449 EAST 83 STREET,10028.0,40.774409,-73.9489803,4.0,6713.0,54482.0,1509.0,0.0,1509.0,52973.0,19.0,69.0,70.0,1985.0,1509.0,1
MN,1563,42,1015630042.0,420 EAST 84 STREET,10028.0,40.7750241,-73.9496586,1.0,1830.0,2040.0,0.0,0.0,0.0,1360.0,2.0,1.0,1.0,1899.0,0.0,0
MN,1563,38,1015630038.0,432 EAST 84 STREET,10028.0,40.7748867,-73.9493301,1.0,2529.0,3313.0,0.0,0.0,0.0,3313.0,4.0,1.0,1.0,1899.0,0.0,0
MN,1562,35,1015620035.0,422 EAST 83 STREET,10028.0,40.7742089,-73.9496989,2.0,2554.0,8345.0,0.0,0.0,0.0,8345.0,5.0,16.0,16.0,1930.0,0.0,0
MN,1563,11,1015630011.0,427 EAST 83 STREET,10028.0,40.7746508,-73.9495542,2.0,10217.0,36920.0,0.0,0.0,0.0,36920.0,5.0,87.0,87.0,1910.0,0.0,0
MN,1563,17,1015630017.0,443 EAST 83 STREET,10028.0,40.7745024,-73.9492004,2.0,2554.0,9456.0,0.0,0.0,0.0,9456.0,5.0,22.0,22.0,1910.0,0.0,0
MN,1563,26,1015630026.0,1573 YORK AVENUE,10028.0,40.7744417,-73.9485723,4.0,1975.0,7900.0,1400.0,1400.0,0.0,6500.0,5.0,8.0,9.0,1915.0,1400.0,1
MN,1563,30,1015630030.0,450 EAST 84 STREET,10028.0,40.7746312,-73.9487274,2.0,2043.0,6835.0,0.0,0.0,0.0,6835.0,5.0,10.0,10.0,1915.0,0.0,0
MN,1563,43,1015630043.0,418 EAST 84 STREET,10028.0,40.7750488,-73.9497163,2.0,2043.0,6545.0,0.0,0.0,0.0,6545.0,5.0,4.0,4.0,1925.0,0.0,0
MN,1580,14,1015800014.0,521 EAST 83 STREET,10028.0,40.7736534,-73.9471901,2.0,2554.0,9185.0,0.0,0.0,0.0,9185.0,5.0,15.0,15.0,1925.0,0.0,0
MN,1580,50,1015800050.0,1590 YORK AVENUE,10028.0,40.7743344,-73.9479369,4.0,1849.0,7675.0,1200.0,1200.0,0.0,6475.0,5.0,8.0,9.0,1920.0,1200.0,1
MN,1580,3,1015800003.0,1582 YORK AVENUE,10028.0,40.7740875,-73.9481176,4.0,1869.0,7700.0,1200.0,1200.0,0.0,6500.0,5.0,16.0,17.0,1910.0,1200.0,1
MN,1563,23,1015630023.0,1567 YORK AVENUE,10028.0,40.7742552,-73.9487024,4.0,1951.0,7840.0,1100.0,1100.0,0.0,6740.0,5.0,8.0,10.0,1915.0,1100.0,1
MN,1563,3,1015630003.0,1606 1 AVENUE,10028.0,40.7750326,-73.9503482,4.0,2100.0,8875.0,1000.0,1000.0,0.0,7875.0,5.0,16.0,17.0,1915.0,1000.0,1
MN,1563,37,1015630037.0,434 EAST 84 STREET,10028.0,40.7748538,-73.9492507,3.0,2580.0,10470.0,580.0,0.0,580.0,9890.0,6.0,20.0,20.0,1987.0,580.0,1
MN,1562,29,1015620029.0,434 EAST 83 STREET,10028.0,40.7740084,-73.9492225,2.0,2605.0,8515.0,0.0,0.0,0.0,8515.0,5.0,21.0,21.0,1906.0,0.0,0
MN,1563,32,1015630032.0,436 EAST 84 STREET,10028.0,40.7747548,-73.9490233,3.0,12140.0,93016.0,4730.0,0.0,0.0,88286.0,12.0,95.0,95.0,1964.0,4730.0,1
MN,1562,30,1015620030.0,432 EAST 83 STREET,10028.0,40.7740413,-73.9493019,2.0,2554.0,8345.0,0.0,0.0,0.0,8345.0,5.0,20.0,20.0,1930.0,0.0,0
MN,1563,129,1015630129.0,452 EAST 84 STREET,10028.0,40.7746037,-73.9486624,2.0,2043.0,8202.0,0.0,0.0,0.0,8202.0,5.0,10.0,10.0,1920.0,0.0,0
MN,1579,49,1015790049.0,1562 YORK AVENUE,10028.0,40.773577,-73.9482444,3.0,21925.0,255420.0,0.0,0.0,0.0,255420.0,21.0,189.0,189.0,1965.0,0.0,0
MN,1580,12,1015800012.0,517 EAST 83 STREET,10028.0,40.7737221,-73.9473489,2.0,2554.0,9185.0,0.0,0.0,0.0,9185.0,5.0,15.0,15.0,1920.0,0.0,0
MN,1563,121,1015630121.0,453 EAST 83 STREET,10028.0,40.7743513,-73.9488395,2.0,2043.0,6915.0,0.0,0.0,0.0,6915.0,5.0,7.0,7.0,1920.0,0.0,0
MN,1563,28,1015630028.0,1577 YORK AVENUE,10028.0,40.7745597,-73.9484855,4.0,1975.0,7900.0,1200.0,1200.0,0.0,6700.0,5.0,13.0,15.0,1915.0,1200.0,1
MN,1563,25,1015630025.0,1571 YORK AVENUE,10028.0,40.7743786,-73.948612,4.0,1951.0,7395.0,1479.0,1479.0,0.0,5916.0,5.0,8.0,10.0,1880.0,1479.0,1
MN,1580,148,1015800148.0,500 1/2 EAST 84 STREET,10028.0,40.774241,-73.9477962,3.0,2546.0,9250.0,0.0,0.0,0.0,9250.0,5.0,14.0,14.0,1910.0,0.0,0
MN,1579,8,1015790008.0,511 EAST 82 STREET,10028.0,40.7732119,-73.9481147,2.0,3031.0,9324.0,0.0,0.0,0.0,9324.0,4.0,9.0,9.0,1905.0,0.0,0
MN,1580,17,1015800017.0,527 EAST 83 STREET,10028.0,40.7735545,-73.9469519,2.0,2554.0,9185.0,0.0,0.0,0.0,9185.0,5.0,15.0,15.0,1915.0,0.0,0
MN,1580,15,1015800015.0,523 EAST 83 STREET,10028.0,40.7736204,-73.9471107,2.0,2554.0,9185.0,0.0,0.0,0.0,9185.0,5.0,16.0,16.0,1910.0,0.0,0
MN,1562,23,1015620023.0,1553 YORK AVENUE,10028.0,40.7736844,-73.9491216,2.0,2046.0,8055.0,0.0,0.0,0.0,8055.0,5.0,18.0,18.0,1910.0,0.0,0
MN,1563,31,1015630031.0,448 EAST 84 STREET,10028.0,40.7746587,-73.948796,2.0,2574.0,9225.0,0.0,0.0,0.0,9225.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1579,40,1015790040.0,520 EAST 83 STREET,10028.0,40.7732995,-73.9475478,2.0,2554.0,8120.0,0.0,0.0,0.0,8120.0,5.0,11.0,11.0,1910.0,0.0,0
MN,1579,41,1015790041.0,518 EAST 83 STREET,10028.0,40.7733324,-73.9476308,2.0,2554.0,8120.0,0.0,0.0,0.0,8120.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1579,42,1015790042.0,516 EAST 83 STREET,10028.0,40.7733654,-73.9477102,2.0,2554.0,8445.0,0.0,0.0,0.0,8445.0,5.0,12.0,12.0,1910.0,0.0,0
MN,1579,44,1015790044.0,512 EAST 83 STREET,10028.0,40.7734341,-73.947869,2.0,2554.0,10830.0,0.0,0.0,0.0,10830.0,5.0,20.0,20.0,1910.0,0.0,0
MN,1579,138,1015790138.0,524 EAST 83 STREET,10028.0,40.7732335,-73.9473962,2.0,2550.0,8164.0,0.0,0.0,0.0,8164.0,5.0,10.0,10.0,1900.0,0.0,0
MN,1580,5,1015800005.0,503 EAST 83 STREET,10028.0,40.7739529,-73.9479011,2.0,2554.0,9190.0,0.0,0.0,0.0,9190.0,5.0,15.0,15.0,1910.0,0.0,0
MN,1580,6,1015800006.0,505 EAST 83 STREET,10028.0,40.7739199,-73.9478217,2.0,2554.0,9190.0,0.0,0.0,0.0,9190.0,5.0,16.0,16.0,1910.0,0.0,0
MN,1580,18,1015800018.0,529 EAST 83 STREET,10028.0,40.7735215,-73.9468725,2.0,2554.0,9185.0,0.0,0.0,0.0,9185.0,5.0,15.0,15.0,1915.0,0.0,0
MN,1580,37,1015800037.0,524 EAST 84 STREET,10028.0,40.7738371,-73.9468469,2.0,2554.0,7970.0,0.0,0.0,0.0,7970.0,5.0,10.0,10.0,1920.0,0.0,0
MN,1580,41,1015800041.0,516 EAST 84 STREET,10028.0,40.7739718,-73.9471646,2.0,2554.0,7970.0,0.0,0.0,0.0,7970.0,5.0,10.0,10.0,1920.0,0.0,0
MN,1580,46,1015800046.0,506 EAST 84 STREET,10028.0,40.7741394,-73.9475616,2.0,2554.0,8065.0,0.0,0.0,0.0,8065.0,5.0,10.0,10.0,1910.0,0.0,0
MN,1580,47,1015800047.0,504 EAST 84 STREET,10028.0,40.7741723,-73.9476374,2.0,2554.0,8080.0,0.0,0.0,0.0,8080.0,5.0,10.0,10.0,1910.0,0.0,0
