restaurant_id,name,cuisine,address,zipcode,inspection_grade,inspection_score,inspection_date,lat,lon
50065982,EL CASTILLO DE MADISON,Latin American,"207 MADISON STREET, MANHATTAN, NY 10002",10002,,35.0,2026-06-16,40.712686306369,-73.989521234924
41196542,STARBUCKS COFFEE,Coffee/Tea,"373 5 AVENUE, MANHATTAN, NY 10016",10016,A,11.0,2026-06-16,40.749185556873,-73.984000717891
50181109,PIZZA STOP,Pizza,"531 LENOX AVENUE, MANHATTAN, NY 10037",10037,N,34.0,2026-06-16,40.815179600583,-73.940079344028
41398154,LITTLE ITALY PIZZA,Pizza,"154 CHURCH STREET, MANHATTAN, NY 10007",10007,A,7.0,2026-06-16,40.714838403799,-74.008015342742
50082264,LAO MA SPICY,Chinese,"58 EAST    8 STREET, MANHATTAN, NY 10003",10003,A,12.0,2026-06-16,40.730980466768,-73.993371842863
41606173,ALLIANZ CAFETERIA,American,"1633 BROADWAY, MANHATTAN, NY 10019",10019,A,11.0,2026-06-16,40.76156716221,-73.983961634192
50072936,NUSRET STEAKHOUSE,Turkish,"51 WEST   52 STREET, MANHATTAN, NY 10019",10019,A,12.0,2026-06-16,40.760641249471,-73.978308981387
50135702,GARVEY'S TIMES SQUARE,American,"206 WEST   41 STREET, MANHATTAN, NY 10036",10036,A,13.0,2026-06-16,40.755589570563,-73.987998478006
50014124,EVERGREEN ON 38,Chinese,"10 EAST   38 STREET, MANHATTAN, NY 10016",10016,A,11.0,2026-06-16,40.750634492679,-73.981990038121
50091096,BENARES,Indian,"45 MURRAY STREET, MANHATTAN, NY 10007",10007,A,7.0,2026-06-16,40.71404780671,-74.009382384449
50081133,TACO INN,Tex-Mex,"1495 SAINT NICHOLAS AVENUE, MANHATTAN, NY 10033",10033,A,10.0,2026-06-16,40.851603320565,-73.932068736195
50106335,MASALA KING,Indian,"64 EAST   34 STREET, MANHATTAN, NY 10016",10016,,44.0,2026-06-16,40.74746708561,-73.98229405694
50141382,SOMM TIME,New American,"254 BROOME STREET, MANHATTAN, NY 10002",10002,A,12.0,2026-06-16,40.718044134176,-73.989964104324
41090212,REBEL,Caribbean,"29 CLINTON STREET, MANHATTAN, NY 10002",10002,A,10.0,2026-06-16,40.720458903139,-73.984364790075
50125628,BUTTERDOSE,Coffee/Tea,"236 EAST   13 STREET, MANHATTAN, NY 10003",10003,A,2.0,2026-06-16,40.732204061238,-73.986775915207
50157598,NO GEM,Korean,"51 CANAL STREET, MANHATTAN, NY 10002",10002,A,3.0,2026-06-16,40.714841128296,-73.991699682984
50119559,LULLABY,American,"151 RIVINGTON STREET, MANHATTAN, NY 10002",10002,A,5.0,2026-06-16,40.719240393784,-73.985645741014
50137468,MUNCHIES CREPES,Pancakes/Waffles,"601 WEST  180 STREET, MANHATTAN, NY 10033",10033,A,5.0,2026-06-16,40.848706248002,-73.934421166125
50120191,MUSETTE WINE BAR,French,"420 LENOX AVENUE, MANHATTAN, NY 10037",10037,A,9.0,2026-06-16,40.811651166096,-73.942640206505
50159621,LE BASQUE,Vegan,"15 UNION SQUARE WEST, MANHATTAN, NY 10003",10003,N,26.0,2026-06-16,40.735783666285,-73.991296531347
41120682,SANT AMBROEUS,Italian,"1000 MADISON AVENUE, MANHATTAN, NY 10075",10075,,30.0,2026-06-16,40.775316250548,-73.962865454507
41707875,NEW GOLDEN STAR RESTAURANT,Chinese,"4247 BROADWAY, MANHATTAN, NY 10033",10033,,11.0,2026-06-16,40.849780417529,-73.936158731473
50186368,CANTINA HARLEM,Mexican,"355 EAST  116 STREET, MANHATTAN, NY 10029",10029,N,35.0,2026-06-16,40.796452989576,-73.936459277756
50073766,JOE JR.,American,"167 3 AVENUE, MANHATTAN, NY 10003",10003,,27.0,2026-06-16,40.734693487788,-73.986140350695
50018025,SUBWAY,Sandwiches,"29 EAST    8 STREET, MANHATTAN, NY 10003",10003,A,9.0,2026-06-16,40.731521250166,-73.994605783536
50150358,HANDROLL BAR ROLLING,Japanese,"864 6 AVENUE, MANHATTAN, NY 10001",10001,A,13.0,2026-06-16,40.747646365295,-73.989331653312
50156679,PICA POLLO JOA RESTAURANT,Spanish,"1370 SAINT NICHOLAS AVENUE, MANHATTAN, NY 10033",10033,Z,43.0,2026-06-16,40.847765049235,-73.934852223376
50159486,GREEN BLEND EATERY,"Juice, Smoothies, Fruit Salads","387 8 AVENUE, MANHATTAN, NY 10001",10001,,50.0,2026-06-16,40.749238739137,-73.995618510276
50140400,OLE & STEEN,American,"1280 LEXINGTON AVENUE, MANHATTAN, NY 10028",10028,A,13.0,2026-06-16,40.779595455676,-73.955518718157
50154575,PHO GA VANG,Southeast Asian,"30 MARKET STREET, MANHATTAN, NY 10002",10002,A,12.0,2026-06-16,40.712719586056,-73.994408917735
50005547,DUNKIN',Donuts,"48 WEST   37 STREET, MANHATTAN, NY 10018",10018,A,12.0,2026-06-16,40.750986221235,-73.984743785129
50113500,THE CORNER LOUNGE,Italian,"32 EAST  130 STREET, MANHATTAN, NY 10037",10037,,,2026-06-16,40.809126817658,-73.938903560863
50165002,NAYA,Middle Eastern,"1285 6 AVENUE, MANHATTAN, NY 10019",10019,A,10.0,2026-06-16,40.760745825561,-73.979817827252
50160241,YUKA,Japanese,"1557 2ND AVE, MANHATTAN, NY 10028",10028,,20.0,2026-06-16,40.774508909984,-73.954207903167
50047966,BAGEL BELLY,Sandwiches/Salads/Mixed Buffet,"114 3 AVENUE, MANHATTAN, NY 10003",10003,,17.0,2026-06-16,40.732917777078,-73.987461340043
50002480,CARNEGIE HALL-WEILL CAFE,American,"881 7 AVENUE, MANHATTAN, NY 10019",10019,,28.0,2026-06-16,40.7649344346,-73.980444691149
50108454,NOZ MARKET,Japanese,"1374 3 AVENUE, MANHATTAN, NY 10075",10075,N,18.0,2026-06-16,40.773700557744,-73.95772866569
50060390,CHOP'T,Salads,"350 5 AVENUE, MANHATTAN, NY 10118",10118,,16.0,2026-06-16,40.748268900702,-73.984690273581
41697654,HOT JALAPENO,Mexican,"219 EAST  116 STREET, MANHATTAN, NY 10029",10029,A,12.0,2026-06-16,40.797684222238,-73.939390857221
50007126,SANDWICHERIE OF NEW YORK,American,"202 EAST   42 STREET, MANHATTAN, NY 10017",10017,A,13.0,2026-06-16,40.750652220779,-73.97420857256
50000233,PALM COURT,American,"768 FIFTH AVENUE, MANHATTAN, NY 10019",10019,Z,29.0,2026-06-16,40.7641481437,-73.973950630007
50146399,DUNKIN DONUTS,Donuts,"275 MADISON AVENUE, MANHATTAN, NY 10016",10016,,17.0,2026-06-16,40.751254455846,-73.979867634054
50056360,BENJAMIN STEAKHOUSE PRIME,Steakhouse,"23 EAST   40 STREET, MANHATTAN, NY 10016",10016,,27.0,2026-06-16,40.751427397223,-73.979990296222
40851227,THE MAGICIAN,American,"118 RIVINGTON STREET, MANHATTAN, NY 10002",10002,,22.0,2026-06-16,40.719773078381,-73.987341166409
50152628,ANGELINA BAKERY GRAND,Bakery Products/Desserts,"450 LEXINGTON AVENUE, MANHATTAN, NY 10017",10017,,28.0,2026-06-16,40.753095200871,-73.974853695761
41151907,THE BACK ROOM,American,"102 NORFOLK STREET, MANHATTAN, NY 10002",10002,A,12.0,2026-06-16,40.718812385599,-73.987124900726
50111191,BLUESTONE LANE,Australian,"109 WEST BROADWAY, MANHATTAN, NY 10013",10013,,33.0,2026-06-16,40.716089964712,-74.008747782425
50152716,SHAKE SHACK #1525,American,"10 COLUMBUS CIRCLE, MANHATTAN, NY 10019",10019,,20.0,2026-06-16,40.767808491195,-73.982266967297
50087943,WAYAN,Indonesian,"20 SPRING STREET, MANHATTAN, NY 10012",10012,N,33.0,2026-06-15,40.721434254484,-73.995050340779
50112178,BUTLER,Coffee/Tea,"177 LAFAYETTE STREET, MANHATTAN, NY 10013",10013,A,10.0,2026-06-15,40.720490153507,-73.998661590775
50182884,WANGLANG,Thai,"49 WEST   24 STREET, MANHATTAN, NY 10010",10010,A,12.0,2026-06-15,40.742939228294,-73.990833667561
50179040,THE GYRO PROJECT,Greek,"469 7 AVENUE, MANHATTAN, NY 10018",10018,A,12.0,2026-06-15,40.751903544573,-73.989940937192
50133885,THE SPA CLUB,Korean,"22 WEST   32 STREET, MANHATTAN, NY 10001",10001,A,13.0,2026-06-15,40.747626871722,-73.986653743397
50078316,ZUCKER'S BAGELS & SMOKED FISH,Bagels/Pretzels,"40 EAST   23 STREET, MANHATTAN, NY 10010",10010,A,2.0,2026-06-15,40.740638799477,-73.987474316069
50060822,NOBU,Japanese,"195 BROADWAY, MANHATTAN, NY 10007",10007,,32.0,2026-06-15,40.710529012969,-74.009378280217
50123284,STARBUCKS,Coffee/Tea,"444 MADISON AVENUE, MANHATTAN, NY 10022",10022,A,10.0,2026-06-15,40.757574853259,-73.975804929436
50136934,EL NUEVO CAPRI II RESTAURANT,Latin American,"1497 SAINT NICHOLAS AVENUE, MANHATTAN, NY 10033",10033,A,5.0,2026-06-15,40.851798113107,-73.931927562314
50105465,LE PAIN QUOTIDIEN,Sandwiches/Salads/Mixed Buffet,"70 WEST   40 STREET, MANHATTAN, NY 10018",10018,A,5.0,2026-06-15,40.753258833752,-73.984378717928
50133309,POTBELLY,Sandwiches,"280 BROADWAY, MANHATTAN, NY 10007",10007,A,12.0,2026-06-15,40.714410338341,-74.006089023993
50178911,5 PENN COFFEE BAR,American,"5 PENN PLAZA, MANHATTAN, NY 10001",10001,Z,33.0,2026-06-15,40.751854407738,-73.993716248526
40918997,FAMOUS RAY'S PIZZA,Pizza,"736 7 AVENUE, MANHATTAN, NY 10019",10019,A,8.0,2026-06-15,40.760266134671,-73.983875315042
41680991,BLAKE AND TODD,American,"52 EAST   53 STREET, MANHATTAN, NY 10022",10022,A,11.0,2026-06-15,40.75943804744,-73.973551803596
50148482,NICCOLO PIZZERIA,Pizza,"2127 AMSTERDAM AVENUE, MANHATTAN, NY 10032",10032,A,7.0,2026-06-15,40.838165776956,-73.938135924398
50166684,BEST WESTERN PREMIER,American,"50 WEST   36 STREET, MANHATTAN, NY 10018",10018,A,10.0,2026-06-15,40.750580119388,-73.985696709367
50049617,BAKERY MOCANA,Bakery Products/Desserts,"1540 SAINT NICHOLAS AVENUE, MANHATTAN, NY 10040",10040,Z,72.0,2026-06-15,40.853147917059,-73.930914032652
50100556,GRAB AND GO,Jewish/Kosher,"20 WEST   47 STREET, MANHATTAN, NY 10036",10036,,28.0,2026-06-15,40.75702661736,-73.979479659974
41703394,PIONEERS BAR & LOUNGE,American,"134 WEST   29 STREET, MANHATTAN, NY 10001",10001,,30.0,2026-06-15,40.747114039331,-73.991190383844
50075962,CHAMPION PIZZA,Pizza,"17 CLEVELAND PLACE, MANHATTAN, NY 10012",10012,A,11.0,2026-06-15,40.721596271652,-73.99733756748
50132265,LOBSTER STEAKHOUSE RESTAURANT,Latin American,"701 WEST  179 STREET, MANHATTAN, NY 10033",10033,Z,29.0,2026-06-15,40.848993333747,-73.937348683074
50186403,OMAKASE BY TENTO,Japanese,"106 AVENUE B, MANHATTAN, NY 10009",10009,N,25.0,2026-06-15,40.72492418461,-73.981325959827
41114768,PUFFY'S TAVERN,American,"81 HUDSON STREET, MANHATTAN, NY 10013",10013,A,8.0,2026-06-15,40.718513586926,-74.00885271823
40367338,"TAP ROOM, GRAB & GO",American,"180 CENTRAL PARK SOUTH, MANHATTAN, NY 10019",10019,A,13.0,2026-06-15,40.766718222992,-73.978736594767
50148667,DA BAO BAKERY,Chinese,"90 EAST BROADWAY, MANHATTAN, NY 10002",10002,Z,22.0,2026-06-15,40.713759821953,-73.993795605059
50124335,STARBUCKS,Coffee/Tea,"55 BROAD STREET, MANHATTAN, NY 10004",10004,A,7.0,2026-06-15,40.705182007167,-74.011505501941
41432588,TOASTIES,Soups/Salads/Sandwiches,"23 EAST   51 STREET, MANHATTAN, NY 10022",10022,Z,24.0,2026-06-15,40.758661721903,-73.975541028846
50165007,DELI DELIGHTS,American,"105 AVENUE A, MANHATTAN, NY 10009",10009,N,65.0,2026-06-15,40.725846787019,-73.983692458562
50175510,VAL PIZZA,Pizza,"166 WEST   46 STREET, MANHATTAN, NY 10036",10036,N,70.0,2026-06-15,40.758111516312,-73.983998565639
50105514,SEMICOLON,Coffee/Tea,"9 EDWARD M MORGAN PLACE, MANHATTAN, NY 10032",10032,,22.0,2026-06-15,40.834658948622,-73.945420979164
50120018,CARROT EXPRESS,Soups/Salads/Sandwiches,"18 WEST   23 STREET, MANHATTAN, NY 10010",10010,,14.0,2026-06-15,40.741898931157,-73.99044045904
50045305,DOMINO'S,Pizza,"440 EAST   14 STREET, MANHATTAN, NY 10009",10009,A,11.0,2026-06-15,40.730786984367,-73.981201634041
41552593,TARALLUCCI E VINO,Italian,"475 COLUMBUS AVENUE, MANHATTAN, NY 10024",10024,Z,52.0,2026-06-15,40.784374185866,-73.973697135192
50118034,THE ELK ON MOTT,Coffee/Tea,"228 MOTT STREET, MANHATTAN, NY 10012",10012,A,12.0,2026-06-15,40.722444332192,-73.995129634394
41621699,MI PASO CENTRO AMERICANO RESTAURANT,Latin American,"4129 BROADWAY, MANHATTAN, NY 10033",10033,,26.0,2026-06-15,40.845812847353,-73.938573355861
50168389,BEFINE CHA,Chinese,"67 BAYARD STREET, MANHATTAN, NY 10013",10013,A,12.0,2026-06-15,40.715491923777,-73.998142240263
50077236,MANHATTA,New American,"28 LIBERTY STREET, MANHATTAN, NY 10005",10005,,41.0,2026-06-15,40.708108174289,-74.008768372325
50171386,TACO MIX,Mexican,"234 EAST  116 STREET, MANHATTAN, NY 10029",10029,,0.0,2026-06-14,40.797563323422,-73.939145367645
50187489,THE ADDISON,Other,"214 WEST   39 STREET, MANHATTAN, NY 10018",10018,N,0.0,2026-06-13,40.754414918467,-73.989049030637
50103133,DUNKIN',Donuts,"1631 LEXINGTON AVENUE, MANHATTAN, NY 10029",10029,A,10.0,2026-06-12,40.790398208116,-73.947606172251
50052863,HANOVER GOURMET DELI,Sandwiches/Salads/Mixed Buffet,"3 HANOVER SQUARE, MANHATTAN, NY 10004",10004,A,2.0,2026-06-12,40.704800657511,-74.009622728173
41627484,BAGEL EXPRESS,Bagels/Pretzels,"347 LEXINGTON AVENUE, MANHATTAN, NY 10016",10016,,21.0,2026-06-12,40.749909013378,-73.977146726973
50034637,WOLFE TONE'S PUB & KITCHEN,Irish,"37 EAST   29 STREET, MANHATTAN, NY 10016",10016,A,12.0,2026-06-12,40.744434480615,-73.984781379958
50082810,GOSPEL,Mediterranean,"281 LAFAYETTE STREET, MANHATTAN, NY 10012",10012,A,12.0,2026-06-12,40.7240061448,-73.99619380993
50175890,SORATE,Coffee/Tea,"30 EAST   18 STREET, MANHATTAN, NY 10003",10003,A,5.0,2026-06-12,40.737677437348,-73.98988174858
50114980,787 COFFEE,Coffee/Tea,"159 2 AVENUE, MANHATTAN, NY 10003",10003,,35.0,2026-06-12,40.729593809786,-73.986953230475
50156053,MAJESTY`S PLEASURE,American,"45 EAST   20 STREET, MANHATTAN, NY 10003",10003,N,17.0,2026-06-12,40.738843879096,-73.988983036918
50118593,DIM SUM SAM,Chinese,"28 EAST   23 STREET, MANHATTAN, NY 10010",10010,A,12.0,2026-06-12,40.740712926082,-73.987640300959
50176921,BROOKLYN BAGEL & COFFEE COMPANY,Bagels/Pretzels,"286 8 AVENUE, MANHATTAN, NY 10001",10001,A,7.0,2026-06-12,40.746200350988,-73.997809355437
50175260,KKR,American,"30 HUDSON YARDS, MANHATTAN, NY 10001",10001,A,2.0,2026-06-12,40.753710037499,-73.999779827939
50093481,STONE STREET COFFEE SOHO,Coffee/Tea,"379 BROOME ST, MANHATTAN, NY 10013",10013,Z,21.0,2026-06-12,40.720344634593,-73.99647901741
50179555,PHO BANG,Southeast Asian,"157 MOTT STREET, MANHATTAN, NY 10013",10013,Z,5.0,2026-06-12,40.719430622582,-73.996338372819
50131958,787 COFFEE,Coffee/Tea,"204 WEST   10 STREET, MANHATTAN, NY 10014",10014,A,0.0,2026-06-12,40.734082173393,-74.003983575073
50149351,NYSE BULL MARKET CAFE,American,"11 WALL STREET, MANHATTAN, NY 10005",10005,A,5.0,2026-06-12,40.707391586763,-74.011105523272
50117993,MCDONALD'S,American,"102 1 AVENUE, MANHATTAN, NY 10009",10009,A,2.0,2026-06-12,40.726522310707,-73.986051859151
50179818,LIBERTY BAGELS,Bagels/Pretzels,"650 BROADWAY, MANHATTAN, NY 10012",10012,A,7.0,2026-06-12,40.726737168013,-73.995648858706
50041709,MARKET CRATES,Sandwiches,"26 WEST   33 STREET, MANHATTAN, NY 10001",10001,,24.0,2026-06-12,40.748236154074,-73.986191658576
50118589,MATTO ESPRESSO,Coffee/Tea,"3495 BROADWAY, MANHATTAN, NY 10031",10031,A,12.0,2026-06-12,40.824942569638,-73.951542611028
41240624,NEW IVOIRE,African,"76 EAST  119 STREET, MANHATTAN, NY 10035",10035,,28.0,2026-06-12,40.801561468426,-73.942623650533
50002120,STARBUCKS,Coffee/Tea,"99 WALL STREET, MANHATTAN, NY 10005",10005,A,9.0,2026-06-12,40.70499297195,-74.007155752611
40949905,KA WAH BAKERY,Chinese,"9 ELDRIDGE STREET, MANHATTAN, NY 10002",10002,Z,47.0,2026-06-12,40.714660104736,-73.993770270146
41288479,STARBUCKS,Coffee/Tea,"4001 BROADWAY, MANHATTAN, NY 10032",10032,A,12.0,2026-06-12,40.841144662413,-73.939726979748
50130108,CENTRAL PARK CAFE,Italian,"910 SEVENTH AVENUE, MANHATTAN, NY 10019",10019,,33.0,2026-06-12,40.765856561697,-73.979801832419
41138581,COLUMBUS CAFE,Sandwiches,"556 COLUMBUS AVENUE, MANHATTAN, NY 10024",10024,Z,23.0,2026-06-12,40.787058094262,-73.97176408253
50108935,EPICES BAKERY,Bakery Products/Desserts,"104 WEST   70 STREET, MANHATTAN, NY 10023",10023,,33.0,2026-06-12,40.77621256407,-73.980022536506
41658484,LEN'S PAPAYA,Hotdogs/Pretzels,"4 SOUTH STREET, MANHATTAN, NY 10004",10004,A,7.0,2026-06-12,40.701687901075,-74.011631125861
50103445,PLAYA BOWLS GC,"Juice, Smoothies, Fruit Salads","230 PARK AVENUE, MANHATTAN, NY 10169",10169,,,2026-06-12,40.75450075314,-73.975950427165
50119503,SUBWAY,Sandwiches,"1171 2 AVENUE, MANHATTAN, NY 10065",10065,A,13.0,2026-06-12,40.76226227794,-73.963143498893
